,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.063 / 1.183 / 99 / 99,1.398 / 1.403 / 99 / 99,1.833 / 1.933 / 99 / 99,1.000 / 1.000 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,1.591 / 1.821 / 99 / 99,1.402 / 2.014 / 99 / 99,1.000 / 1.000 / 99 / 99
2,1-2,3.191 / 3.385 / 99 / 99,1.000 / 1.000 / 99 / 99,2.593 / 4.917 / 99 / 99,1.000 / 1.000 / 99 / 99
3,1-3,1.557 / 2.075 / 99 / 99,1.803 / 2.233 / 99 / 99,2.495 / 2.858 / 99 / 99,1.872 / 2.376 / 99 / 99
4,1-4,1.000 / 1.000 / 99 / 99,1.363 / 1.609 / 99 / 99,3.120 / 3.337 / 99 / 99,1.000 / 1.000 / 99 / 99
5,1-5,2.608 / 3.215 / 99 / 99,2.610 / 3.034 / 99 / 99,16.913 / 965.070 / 99 / 99,1.426 / 1.842 / 99 / 99
6,2-0,2.493 / 3.400 / 28 / 28,1.536 / 1.746 / 63 / 63,1.434 / 1.749 / 39 / 39,1.426 / 1.426 / 72 / 72
7,2-1,0.895 / 0.895 / 53 / 53,1.391 / 2.640 / 61 / 61,1.268 / 2.640 / 66 / 66,1.755 / 2.640 / 76 / 76
8,2-2,1.923 / 2.399 / 59 / 59,1.581 / 1.939 / 65 / 65,1.379 / 1.939 / 48 / 48,1.360 / 1.762 / 53 / 53
9,2-3,1.026 / 3.641 / 64 / 64,1.894 / 2.437 / 26 / 26,68.111 / 3734.759 / 62 / 62,0.802 / 1.186 / 58 / 58
10,2-4,1.030 / 1.821 / 52 / 52,1.094 / 1.821 / 37 / 37,1.039 / 1.519 / 45 / 45,1.158 / 1.821 / 67 / 67
11,2-5,1.401 / 1.944 / 73 / 73,1.602 / 2.007 / 37 / 37,1.533 / 2.139 / 42 / 42,2.220 / 2.220 / 1 / 1
12,2-6,1.606 / 1.626 / 60 / 60,1.579 / 1.699 / 50 / 50,1.161 / 1.462 / 68 / 68,1.588 / 1.714 / 33 / 33
13,2-7,1.345 / 2.227 / 54 / 54,0.777 / 1.616 / 58 / 58,0.700 / 0.700 / 29 / 29,0.700 / 0.700 / 36 / 36
14,2-8,1.624 / 1.941 / 47 / 47,1.706 / 2.254 / 45 / 45,1.088 / 1.939 / 57 / 57,1.619 / 1.950 / 59 / 59
15,2-9,2.007 / 2.818 / 57 / 57,0.945 / 1.302 / 55 / 55,0.931 / 1.302 / 53 / 53,2.924 / 3.399 / 52 / 52
16,2-10,1.228 / 1.662 / 64 / 64,1.357 / 1.662 / 15 / 30,58.388 / 475.511 / 42 / 42,1.212 / 1.444 / 73 / 73
17,2-11,1.638 / 2.630 / 57 / 57,2.979 / 3.986 / 44 / 44,2.183 / 3.622 / 70 / 70,2.052 / 2.800 / 50 / 50
18,2-12,1.222 / 1.406 / 44 / 44,1.058 / 1.706 / 67 / 67,0.945 / 1.453 / 29 / 29,0.982 / 1.853 / 43 / 46
19,2-13,3.985 / 4.346 / 32 / 32,1.658 / 2.070 / 27 / 27,1.602 / 2.561 / 32 / 32,1.584 / 2.088 / 31 / 31
20,2-14,2.731 / 3.171 / 39 / 39,2.150 / 2.429 / 52 / 52,1.128 / 1.799 / 34 / 34,2.391 / 2.709 / 58 / 58
21,2-15,1.024 / 1.241 / 42 / 42,1.055 / 1.457 / 41 / 41,1.056 / 1.457 / 43 / 43,0.903 / 1.241 / 27 / 27
22,2-16,1.624 / 2.162 / 57 / 57,1.739 / 2.415 / 47 / 47,1.276 / 2.041 / 24 / 24,1.953 / 3.357 / 53 / 53
23,2-17,1.323 / 2.070 / 70 / 70,1.639 / 2.025 / 44 / 44,1.191 / 1.538 / 75 / 75,1.174 / 1.614 / 51 / 51
24,2-18,1.696 / 2.216 / 45 / 45,51.338 / 450.302 / 63 / 63,66.867 / 1347.169 / 48 / 48,1.387 / 2.312 / 49 / 49
25,2-19,1.399 / 1.603 / 65 / 65,1.746 / 1.892 / 34 / 34,2.047 / 2.399 / 53 / 53,1.369 / 1.603 / 69 / 69
26,2-20,2.594 / 3.199 / 51 / 51,1.791 / 2.737 / 60 / 60,1.606 / 2.344 / 48 / 48,1.633 / 2.344 / 57 / 57
27,2-21,2.027 / 2.446 / 39 / 39,1.167 / 1.786 / 60 / 60,1.105 / 1.650 / 50 / 50,1.353 / 2.136 / 60 / 60
28,2-22,2.129 / 2.883 / 66 / 66,0.699 / 1.031 / 56 / 56,67.169 / 348.859 / 37 / 37,0.880 / 1.390 / 70 / 70
29,2-23,1.022 / 1.366 / 50 / 50,1.474 / 1.787 / 57 / 57,1.553 / 2.636 / 72 / 72,1.346 / 1.642 / 73 / 73
