,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,2.517 / 2.908 / 99 / 99,-1.000 / -1.000 / 0 / 99
1,1-1,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,2.101 / 2.527 / 99 / 99,-1.000 / -1.000 / 0 / 99
2,1-2,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.634 / 2.227 / 99 / 99,-1.000 / -1.000 / 0 / 99
3,1-3,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99
4,1-4,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,2.484 / 2.967 / 99 / 99,-1.000 / -1.000 / 0 / 99
5,1-5,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.658 / 2.667 / 99 / 99,-1.000 / -1.000 / 0 / 99
6,2-0,-1.000 / -1.000 / 0 / 56,-1.000 / -1.000 / 0 / 67,1.132 / 1.625 / 68 / 68,-1.000 / -1.000 / 0 / 75
7,2-1,-1.000 / -1.000 / 0 / 52,-1.000 / -1.000 / 0 / 38,1.233 / 1.817 / 56 / 56,-1.000 / -1.000 / 0 / 38
8,2-2,-1.000 / -1.000 / 0 / 61,-1.000 / -1.000 / 0 / 48,1.460 / 1.837 / 27 / 27,-1.000 / -1.000 / 0 / 36
9,2-3,-1.000 / -1.000 / 0 / 55,-1.000 / -1.000 / 0 / 47,1.292 / 1.319 / 43 / 43,-1.000 / -1.000 / 0 / 79
10,2-4,-1.000 / -1.000 / 0 / 50,-1.000 / -1.000 / 0 / 61,1.421 / 2.076 / 46 / 46,-1.000 / -1.000 / 0 / 40
11,2-5,-1.000 / -1.000 / 0 / 45,-1.000 / -1.000 / 0 / 32,1.529 / 1.967 / 48 / 48,-1.000 / -1.000 / 0 / 68
12,2-6,-1.000 / -1.000 / 0 / 30,-1.000 / -1.000 / 0 / 41,1.150 / 1.398 / 54 / 54,-1.000 / -1.000 / 0 / 67
13,2-7,-1.000 / -1.000 / 0 / 54,-1.000 / -1.000 / 0 / 52,1.249 / 1.635 / 57 / 57,-1.000 / -1.000 / 0 / 56
14,2-8,-1.000 / -1.000 / 0 / 39,-1.000 / -1.000 / 0 / 22,0.966 / 1.303 / 51 / 51,-1.000 / -1.000 / 0 / 43
15,2-9,-1.000 / -1.000 / 0 / 55,-1.000 / -1.000 / 0 / 68,1.182 / 1.474 / 44 / 44,-1.000 / -1.000 / 0 / 54
16,2-10,-1.000 / -1.000 / 0 / 49,-1.000 / -1.000 / 0 / 27,1.477 / 2.161 / 59 / 59,-1.000 / -1.000 / 0 / 61
17,2-11,-1.000 / -1.000 / 0 / 63,-1.000 / -1.000 / 0 / 60,1.782 / 2.303 / 25 / 25,-1.000 / -1.000 / 0 / 71
18,2-12,-1.000 / -1.000 / 0 / 57,-1.000 / -1.000 / 0 / 47,1.367 / 3.027 / 41 / 41,-1.000 / -1.000 / 0 / 52
19,2-13,-1.000 / -1.000 / 0 / 47,-1.000 / -1.000 / 0 / 67,2.083 / 2.176 / 40 / 40,-1.000 / -1.000 / 0 / 53
20,2-14,-1.000 / -1.000 / 0 / 64,-1.000 / -1.000 / 0 / 42,0.890 / 0.890 / 34 / 34,-1.000 / -1.000 / 0 / 49
21,2-15,-1.000 / -1.000 / 0 / 42,-1.000 / -1.000 / 0 / 22,0.938 / 1.197 / 24 / 24,-1.000 / -1.000 / 0 / 63
22,2-16,-1.000 / -1.000 / 0 / 50,-1.000 / -1.000 / 0 / 47,2.716 / 3.193 / 19 / 19,-1.000 / -1.000 / 0 / 59
23,2-17,-1.000 / -1.000 / 0 / 20,-1.000 / -1.000 / 0 / 30,2.766 / 3.455 / 45 / 45,-1.000 / -1.000 / 0 / 54
