,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.540 / 2.020 / 99 / 99,1.721 / 2.020 / 99 / 99,1.622 / 2.198 / 92 / 99,1.721 / 2.044 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,2.216 / 2.216 / 99 / 99,3.401 / 3.501 / 99 / 99,1.000 / 1.000 / 99 / 99
2,1-2,1.740 / 2.325 / 99 / 99,2.014 / 2.325 / 99 / 99,1.973 / 2.474 / 99 / 99,1.813 / 2.466 / 99 / 99
3,1-3,1.753 / 2.105 / 99 / 99,3.007 / 3.449 / 99 / 99,2.840 / 3.449 / 99 / 99,1.847 / 2.105 / 99 / 99
4,1-4,1.797 / 2.296 / 99 / 99,2.779 / 3.246 / 99 / 99,3.761 / 4.094 / 99 / 99,1.811 / 2.326 / 99 / 99
5,1-5,1.185 / 1.662 / 99 / 99,1.445 / 1.669 / 99 / 99,1.458 / 1.863 / 99 / 99,1.859 / 2.171 / 99 / 99
6,2-0,2.240 / 2.374 / 38 / 38,2.250 / 2.372 / 43 / 43,2.245 / 2.374 / 46 / 46,2.240 / 2.255 / 42 / 42
7,2-1,1.800 / 2.154 / 42 / 42,1.945 / 2.284 / 62 / 62,1.867 / 2.284 / 43 / 43,1.552 / 1.798 / 57 / 57
8,2-2,1.199 / 1.689 / 70 / 70,1.704 / 1.754 / 49 / 49,1.689 / 1.689 / 16 / 16,1.118 / 1.118 / 52 / 52
9,2-3,1.310 / 1.541 / 44 / 44,1.303 / 1.834 / 80 / 80,1.417 / 2.001 / 40 / 40,1.296 / 2.012 / 55 / 55
10,2-4,1.376 / 1.771 / 54 / 54,1.391 / 1.805 / 28 / 28,1.279 / 1.771 / 61 / 61,1.000 / 1.417 / 30 / 30
11,2-5,1.323 / 2.120 / 49 / 49,1.185 / 1.427 / 66 / 66,1.178 / 1.427 / 73 / 73,1.266 / 1.756 / 30 / 30
12,2-6,1.228 / 1.866 / 44 / 44,1.375 / 2.251 / 47 / 47,1.247 / 1.861 / 70 / 70,1.577 / 2.251 / 65 / 65
13,2-7,1.456 / 1.708 / 45 / 45,1.484 / 1.805 / 61 / 61,1.448 / 1.651 / 39 / 39,1.299 / 1.620 / 66 / 66
14,2-8,1.010 / 1.270 / 75 / 75,0.970 / 1.240 / 54 / 54,1.022 / 1.366 / 47 / 47,1.006 / 1.270 / 40 / 40
15,2-9,1.530 / 2.010 / 71 / 71,1.306 / 2.035 / 51 / 51,3.007 / 3.416 / 56 / 56,1.240 / 1.757 / 49 / 49
16,2-10,0.888 / 0.888 / 73 / 73,1.588 / 1.745 / 63 / 63,1.541 / 1.621 / 27 / 27,0.888 / 0.888 / 64 / 64
17,2-11,1.327 / 1.757 / 52 / 52,1.673 / 2.351 / 76 / 76,1.542 / 2.141 / 70 / 70,1.135 / 1.788 / 36 / 36
18,2-12,1.028 / 1.417 / 38 / 38,1.451 / 1.907 / 53 / 53,1.409 / 1.683 / 32 / 32,0.943 / 1.558 / 55 / 55
19,2-13,1.724 / 2.289 / 47 / 47,1.524 / 2.215 / 33 / 33,1.484 / 2.241 / 47 / 47,1.467 / 2.241 / 51 / 51
20,2-14,1.349 / 1.772 / 49 / 49,1.413 / 2.457 / 42 / 42,3.380 / 4.029 / 74 / 74,1.322 / 1.772 / 34 / 34
21,2-15,1.510 / 1.857 / 44 / 44,1.951 / 2.230 / 73 / 73,1.819 / 2.230 / 35 / 35,1.328 / 1.421 / 64 / 64
22,2-16,1.009 / 3.297 / 43 / 43,1.005 / 2.975 / 42 / 42,0.904 / 1.091 / 69 / 69,1.135 / 2.975 / 47 / 47
23,2-17,3.462 / 3.976 / 36 / 36,3.426 / 3.901 / 42 / 42,3.731 / 4.246 / 43 / 43,3.475 / 3.901 / 43 / 43
