,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.446 / 1.446 /  9,1.529 / 1.818 /  9,1.041 / 1.371 /  9,1.000 / 1.000 /  9
1,2-0,0.892 / 0.892 / 12,0.892 / 0.892 /  7,0.892 / 0.892 /  7,0.892 / 0.892 /  5,0.892 / 0.892 / 11
2,2-1,1.060 / 1.275 /  6,1.017 / 1.017 /  5,1.017 / 1.017 /  7,1.038 / 1.122 /  5,1.071 / 1.296 /  9
3,2-2,0.893 / 0.893 /  7,0.893 / 0.893 /  7,0.893 / 0.893 /  8,0.893 / 0.893 /  7,0.893 / 0.893 /  7
4,2-3,0.930 / 0.930 /  9,1.426 / 1.744 /  5,1.346 / 1.346 /  4,0.930 / 0.930 / 10,0.930 / 0.930 /  7
