,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.332 / 1.625 /  9,0.978 / 1.822 /  9,1.039 / 1.352 /  9,1.265 / 1.265 /  9
1,1-1,1.000 / 1.000 /  9,1.000 / 1.000 /  9,2.458 / 2.627 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,1-2,1.402 / 1.402 /  9,1.998 / 2.335 /  9,2.345 / 2.618 /  9,1.651 / 2.009 /  9,1.402 / 1.402 /  9
3,1-3,1.495 / 1.495 /  9,1.145 / 1.145 /  9,1.602 / 1.718 /  9,1.495 / 1.495 /  9,1.495 / 1.495 /  9
4,1-4,1.409 / 1.409 /  9,1.833 / 1.833 /  9,1.523 / 1.523 /  9,1.409 / 1.409 /  9,1.409 / 1.409 /  9
5,2-0,1.131 / 1.131 / 10,1.181 / 1.430 /  6,1.166 / 1.445 /  9,1.131 / 1.131 /  9,1.133 / 1.154 / 10
6,2-1,1.325 / 1.669 /  8,1.288 / 1.349 /  6,1.275 / 1.275 /  6,1.279 / 1.306 /  8,1.341 / 1.669 /  6
7,2-2,1.689 / 1.880 /  9,1.665 / 1.665 /  8,1.708 / 1.880 /  5,1.708 / 1.880 /  5,1.848 / 2.518 /  7
8,2-3,0.893 / 0.893 /  7,0.893 / 0.893 /  7,0.893 / 0.893 /  8,0.893 / 0.893 /  8,0.893 / 0.893 / 11
9,2-4,0.894 / 0.894 /  7,1.470 / 1.746 /  9,1.668 / 2.829 /  8,1.077 / 1.077 /  8,0.894 / 0.894 /  3
