,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.690 / 1.883 /  9,1.705 / 1.834 /  9,1.073 / 1.073 /  9,1.197 / 1.197 /  9
1,1-1,1.035 / 1.316 /  9,1.490 / 1.743 /  9,1.838 / 2.245 /  9,1.035 / 1.319 /  9,1.326 / 1.610 /  9
2,1-2,1.000 / 1.000 /  9,1.024 / 1.089 /  9,1.056 / 1.112 /  9,1.000 / 1.000 /  9,1.516 / 1.588 /  9
3,1-3,1.000 / 1.000 /  9,1.050 / 1.452 /  9,1.138 / 1.452 /  9,1.113 / 1.339 /  9,1.372 / 1.372 /  9
4,1-4,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.400 / 1.499 /  9,1.012 / 1.107 /  9,1.213 / 1.340 /  9
5,2-0,0.744 / 0.890 /  8,0.890 / 0.890 /  8,0.695 / 0.695 /  8,0.751 / 1.004 /  9,0.695 / 0.695 /  8
6,2-1,0.893 / 0.893 / 10,0.954 / 1.383 /  8,0.893 / 0.893 /  7,0.942 / 1.238 /  7,1.257 / 1.604 / 12
7,2-2,0.891 / 0.891 /  9,0.891 / 0.891 /  8,0.961 / 1.238 /  5,0.891 / 0.891 /  6,1.005 / 1.234 /  3
8,2-3,0.856 / 0.856 /  5,1.003 / 1.003 / 10,0.985 / 1.003 /  8,0.856 / 0.856 /  9,0.856 / 0.856 /  9
9,2-4,1.118 / 1.129 /  5,1.168 / 1.407 /  6,1.096 / 1.096 /  7,1.163 / 1.407 /  6,1.056 / 1.305 /  8
