,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.700 / 1.793 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.126 / 1.126 /  9,1.548 / 1.554 /  9,1.699 / 1.775 /  9,1.126 / 1.126 /  9,1.801 / 1.801 /  9
2,1-2,1.000 / 1.000 /  9,1.126 / 1.455 /  9,1.085 / 1.085 /  9,1.041 / 1.371 /  9,1.402 / 1.452 /  9
3,1-3,1.239 / 1.239 /  9,1.350 / 1.430 /  9,-1.000 / -1.000 /  0,1.239 / 1.239 /  9,1.175 / 1.175 /  9
4,2-0,1.298 / 1.298 /  8,0.891 / 0.891 /  7,0.891 / 0.891 /  6,1.298 / 1.298 /  8,0.891 / 0.891 /  7
5,2-1,0.840 / 0.840 /  5,1.303 / 1.529 /  8,1.271 / 1.271 /  8,0.897 / 1.236 /  7,1.482 / 1.536 /  6
6,2-2,0.996 / 1.377 /  8,2.591 / 3.052 / 10,2.474 / 2.474 /  9,0.941 / 0.941 /  8,2.537 / 2.723 /  8
7,2-3,0.895 / 0.895 /  7,1.353 / 1.353 /  7,1.430 / 1.528 /  6,0.895 / 0.895 /  3,1.353 / 1.353 /  8
8,2-4,1.229 / 1.297 /  6,1.458 / 1.458 / 11,589.597 / 1241.738 /  7,1.297 / 1.297 /  8,1.854 / 1.854 /  6
9,2-5,0.890 / 0.890 /  7,0.890 / 0.890 /  5,0.890 / 0.890 /  7,0.890 / 0.890 /  7,1.552 / 1.552 /  9
10,2-6,0.890 / 0.890 /  7,1.442 / 1.683 /  7,1.458 / 1.534 /  6,0.890 / 0.890 / 10,1.452 / 1.683 /  7
11,2-7,0.919 / 0.919 /  4,0.919 / 0.919 /  5,1.856 / 2.471 /  5,0.919 / 0.919 /  6,0.919 / 0.919 / 11
