,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.296 / 1.333 /  9,1.496 / 1.670 /  9,1.670 / 1.670 /  1,1.329 / 1.630 /  9,1.232 / 1.477 /  9
1,1-1,1.100 / 1.251 /  9,1.070 / 1.387 /  9,1623.210 / 3245.547 / 11476,0.996 / 1.016 /  9,1.014 / 1.018 /  9
2,1-2,1.079 / 1.354 /  9,1.522 / 1.552 /  9,1.503 / 1.503 /  1,1.039 / 1.354 /  9,1.000 / 1.000 /  9
3,1-3,1.483 / 1.563 /  9,1.628 / 1.644 /  9,1.325 / 1.325 /  1,1.495 / 1.500 /  9,1.504 / 1.613 /  9
4,1-4,1.038 / 1.341 /  9,1.095 / 1.095 /  9,1.095 / 1.095 /  1,1.038 / 1.341 /  9,-1.000 / -1.000 /  0
5,1-5,1.000 / 1.000 /  9,0.904 / 1.232 /  9,0.830 / 0.830 /  1,1.008 / 1.069 /  9,1.053 / 1.410 /  9
6,1-6,1.883 / 2.050 /  9,1.806 / 1.899 /  9,1.766 / 1.766 /  1,1.756 / 1.799 /  9,1.804 / 1.844 /  9
7,1-7,1.511 / 1.807 /  9,1.997 / 2.021 /  9,1.547 / 1.547 /  1,1.468 / 1.807 /  9,1.684 / 1.716 /  9
8,2-0,1.018 / 1.183 / 10,1.074 / 1.112 /  7,-1.000 / -1.000 /  0,1.068 / 1.068 /  7,1.063 / 1.063 /  5
9,2-1,1.004 / 1.765 /  9,1.273 / 1.273 /  5,-1.000 / -1.000 /  0,0.908 / 0.908 /  6,0.908 / 0.908 /  4
10,2-2,1.212 / 1.212 /  9,1.252 / 1.276 /  8,-1.000 / -1.000 /  0,1.212 / 1.212 /  7,1.212 / 1.212 /  7
11,2-3,0.889 / 0.889 /  9,0.910 / 1.020 /  6,-1.000 / -1.000 /  0,0.889 / 0.889 /  6,0.889 / 0.889 /  5
12,2-4,2.075 / 2.075 /  8,2.806 / 2.989 /  6,-1.000 / -1.000 /  0,2.120 / 2.349 /  6,2.011 / 2.011 /  6
13,2-5,0.728 / 0.728 /  6,1.020 / 1.020 /  6,-1.000 / -1.000 /  0,0.728 / 0.728 /  6,0.728 / 0.728 /  6
14,2-6,0.899 / 0.899 /  5,1.352 / 1.352 /  8,-1.000 / -1.000 /  0,1.008 / 1.191 /  8,0.853 / 0.853 /  7
15,2-7,0.894 / 0.894 /  6,0.894 / 0.894 /  6,0.905 / 0.979 /  8,0.894 / 0.894 /  9,0.935 / 1.385 / 12
