,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.090 / 1.403 /  9,1.243 / 1.859 /  9,1.835 / 2.324 /  9,1.032 / 1.292 /  9,1.134 / 1.403 /  9
1,1-1,0.913 / 1.000 /  7,0.898 / 1.053 /  9,1.021 / 1.126 /  9,0.984 / 1.055 /  9,1.165 / 1.165 /  9
2,1-2,1.320 / 1.335 /  9,1.378 / 1.522 /  9,1.580 / 1.587 /  9,1.355 / 1.522 /  9,1.327 / 1.335 /  9
3,1-3,1.302 / 1.302 /  9,1.086 / 1.326 /  9,1.078 / 1.326 /  9,1.307 / 1.326 /  9,1.307 / 1.326 /  9
4,1-4,1.616 / 1.616 /  9,1.729 / 1.796 /  9,2.030 / 2.030 /  9,1.732 / 1.901 /  9,1.616 / 1.616 /  9
5,1-5,1.000 / 1.000 /  9,1.722 / 1.831 /  9,1.727 / 1.831 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
6,1-6,1.852 / 1.852 /  9,1.852 / 1.852 /  9,2.180 / 2.180 /  9,1.869 / 1.911 /  9,2.174 / 2.210 /  9
7,1-7,1.000 / 1.000 /  9,1.146 / 1.599 /  9,1.000 / 1.000 /  9,1.104 / 1.234 /  9,1.024 / 1.213 /  9
8,2-0,0.891 / 0.891 /  5,0.924 / 1.117 /  7,1.190 / 1.375 / 10,0.942 / 1.117 /  9,1.132 / 1.132 /  7
9,2-1,1.742 / 1.742 /  9,1.742 / 1.742 /  6,1.742 / 1.742 /  6,1.742 / 1.742 /  7,1.777 / 2.096 / 10
10,2-2,1.176 / 1.345 /  8,1.078 / 1.094 /  6,1.301 / 1.824 /  4,1.075 / 1.075 /  9,1.737 / 1.888 /  3
11,2-3,1.097 / 1.605 /  7,0.894 / 0.894 /  5,0.894 / 0.894 /  7,1.255 / 2.406 /  7,0.894 / 0.894 /  6
12,2-4,0.464 / 0.464 /  9,0.464 / 0.464 /  4,0.809 / 1.044 /  7,0.506 / 0.652 /  9,0.496 / 0.652 /  6
13,2-5,0.535 / 0.652 /  8,0.466 / 0.466 /  8,0.754 / 0.895 / 10,0.466 / 0.466 /  7,0.466 / 0.466 /  4
14,2-6,1.575 / 1.575 /  8,1.655 / 2.368 / 10,0.894 / 0.894 /  8,1.575 / 1.575 /  6,1.898 / 1.898 /  9
15,2-7,1.109 / 1.537 /  6,0.932 / 1.193 /  8,1.289 / 1.537 /  6,0.895 / 0.895 /  9,1.443 / 1.443 /  6
