,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,0.932 / 1.000 /  9,0.932 / 1.000 /  9,0.932 / 1.000 /  9,0.932 / 1.000 /  9,1.360 / 1.561 /  9
1,1-1,1.358 / 1.358 /  9,1.677 / 1.983 /  9,1.608 / 1.983 /  9,1.358 / 1.358 /  9,1.570 / 1.570 /  9
2,1-2,1.000 / 1.000 /  9,2.008 / 2.121 /  9,2.008 / 2.121 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
3,1-3,1.467 / 1.512 /  9,1.262 / 1.262 /  9,1.262 / 1.262 /  9,1.491 / 1.512 /  9,1.899 / 1.899 /  9
4,1-4,1.133 / 1.399 /  9,1.168 / 1.168 /  9,1.168 / 1.168 /  9,1.044 / 1.399 /  9,1.249 / 1.748 /  9
5,1-5,1.221 / 1.365 /  9,1.210 / 1.355 /  9,1.192 / 1.192 /  9,1.154 / 1.365 /  9,1.099 / 1.314 /  9
6,1-6,1.563 / 1.964 /  9,2.149 / 2.149 /  9,2.149 / 2.149 /  9,1.422 / 1.897 /  9,1.478 / 1.709 /  9
7,1-7,1.824 / 1.824 /  9,1.824 / 1.824 /  9,1.824 / 1.824 /  9,1.824 / 1.824 /  9,2.311 / 2.311 /  9
8,2-0,0.982 / 1.264 /  8,0.888 / 0.888 /  7,0.888 / 0.888 /  9,0.930 / 1.264 /  9,0.888 / 0.888 /  9
9,2-1,1.182 / 1.447 /  8,1.144 / 1.144 /  7,1.144 / 1.144 /  5,0.894 / 0.894 /  6,0.894 / 0.894 /  4
10,2-2,0.899 / 0.899 /  6,1.834 / 1.991 /  8,1.746 / 1.811 / 11,0.899 / 0.899 /  6,0.899 / 0.899 /  3
11,2-3,1.037 / 1.037 /  7,1.037 / 1.037 /  6,1.062 / 1.236 /  8,1.610 / 1.929 /  7,1.467 / 1.467 /  7
12,2-4,1.141 / 1.141 /  7,1.146 / 1.179 /  8,1.186 / 1.503 /  8,0.891 / 0.891 /  6,0.891 / 0.891 /  6
13,2-5,0.946 / 1.259 /  7,1.822 / 1.924 /  6,1.934 / 2.473 /  6,1.035 / 1.592 / 10,0.985 / 1.618 /  8
14,2-6,0.950 / 1.154 / 10,1.649 / 1.649 /  4,1.572 / 1.711 /  7,0.896 / 0.896 /  6,0.925 / 1.015 /  5
15,2-7,1.095 / 1.658 /  9,1.152 / 1.152 /  7,1.152 / 1.152 /  8,1.433 / 1.433 /  6,1.567 / 2.374 /  7
