,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.443 / 1.845 / 99 / 99,1.765 / 2.063 / 99 / 99,2.177 / 2.526 / 99 / 99,1.606 / 1.938 / 99 / 99
1,1-1,1.078 / 1.385 / 99 / 99,1.144 / 1.385 / 99 / 99,2.318 / 2.705 / 99 / 99,1.384 / 1.738 / 99 / 99
2,1-2,1.259 / 1.749 / 99 / 99,1.850 / 2.303 / 99 / 99,1.996 / 2.595 / 99 / 99,1.256 / 1.931 / 99 / 99
3,1-3,1.929 / 2.927 / 99 / 99,1.646 / 1.895 / 99 / 99,1.700 / 1.980 / 99 / 99,1.758 / 2.490 / 99 / 99
4,1-4,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,3.105 / 3.194 / 99 / 99,1.000 / 1.000 / 99 / 99
5,2-0,1.850 / 1.864 / 19 / 19,1.365 / 1.365 / 37 / 37,1.365 / 1.365 / 62 / 62,1.816 / 1.864 / 25 / 25
6,2-1,1.519 / 1.793 / 63 / 63,1.518 / 1.789 / 58 / 58,3.452 / 3.987 / 49 / 49,1.497 / 1.793 / 33 / 33
7,2-2,1.239 / 1.239 / 59 / 59,2.651 / 2.651 / 30 / 30,2.569 / 2.651 / 60 / 60,1.248 / 1.260 / 36 / 36
8,2-3,1.138 / 1.712 / 51 / 51,0.890 / 1.126 / 40 / 40,1.085 / 1.376 / 53 / 53,1.099 / 2.017 / 43 / 43
9,2-4,1.238 / 1.252 / 65 / 65,3.376 / 3.401 / 42 / 42,3.561 / 3.786 / 81 / 81,1.334 / 1.381 / 28 / 28
10,2-5,0.908 / 0.908 / 20 / 20,2.074 / 2.600 / 54 / 54,0.908 / 0.908 / 41 / 41,2.109 / 2.678 / 62 / 62
11,2-6,1.976 / 2.244 / 69 / 69,1.856 / 2.111 / 64 / 64,1.881 / 2.111 / 68 / 68,1.884 / 2.145 / 17 / 17
12,2-7,1.048 / 1.170 / 37 / 37,2.618 / 2.618 / 39 / 39,2.618 / 2.618 / 61 / 61,1.045 / 1.046 / 37 / 37
13,2-8,2.662 / 2.871 / 27 / 27,2.295 / 2.563 / 44 / 44,2.321 / 2.499 / 30 / 30,2.735 / 2.979 / 34 / 34
14,2-9,1.051 / 1.345 / 52 / 52,1.085 / 1.356 / 52 / 52,0.984 / 1.322 / 54 / 54,0.973 / 1.282 / 48 / 48
15,2-10,1.727 / 2.033 / 51 / 51,2.200 / 2.374 / 61 / 61,2.178 / 2.374 / 72 / 72,1.706 / 2.175 / 79 / 79
16,2-11,1.319 / 1.615 / 62 / 62,1.405 / 1.694 / 38 / 38,1.461 / 1.694 / 61 / 61,1.440 / 2.642 / 45 / 45
17,2-12,2.117 / 2.431 / 48 / 48,2.903 / 3.078 / 60 / 60,2.831 / 3.078 / 41 / 41,1.955 / 1.970 / 24 / 24
18,2-13,2.562 / 3.021 / 41 / 41,1.166 / 1.481 / 49 / 49,1.177 / 1.481 / 57 / 57,2.742 / 3.120 / 33 / 33
19,2-14,2.885 / 3.240 / 68 / 68,1.801 / 1.990 / 56 / 56,1.768 / 1.990 / 64 / 64,2.982 / 3.240 / 46 / 46
