,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.121 / 1.364 /  9,1.226 / 1.226 /  9,59.446 / 525.205 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.000 / 1.000 /  9,1.000 / 1.000 /  9,377.985 / 965.896 /  8,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,1-2,1.000 / 1.000 /  9,0.712 / 1.183 /  9,0.700 / 1.424 /  9,0.901 / 1.106 /  9,0.679 / 1.000 /  9
3,2-0,0.890 / 0.890 /  7,0.845 / 1.065 /  8,0.873 / 1.349 /  9,1.131 / 1.131 /  7,0.814 / 0.814 /  5
4,2-1,1.204 / 1.204 / 11,1.204 / 1.204 /  8,1.204 / 1.204 /  6,1.002 / 1.002 /  8,1.204 / 1.204 /  8
5,2-2,0.893 / 0.893 /  8,1.679 / 1.679 /  7,1.504 / 2.061 /  7,1.021 / 2.169 / 10,1.031 / 1.862 /  7
6,2-3,1.063 / 1.307 /  9,1.066 / 1.330 /  9,150.952 / 246.639 /  6,1.033 / 1.033 /  5,1.067 / 1.307 /  8
7,2-4,1.309 / 1.560 / 10,1.147 / 1.147 /  8,0.842 / 0.842 /  5,1.176 / 1.382 /  5,0.863 / 1.263 /  7
8,2-5,0.913 / 0.913 /  9,1.385 / 1.477 /  7,137.977 / 504.660 /  8,1.401 / 1.591 /  7,1.010 / 1.113 /  6
9,2-6,0.941 / 0.941 /  6,1.392 / 1.392 /  5,185.581 / 222.508 /  6,1.368 / 1.368 /  5,0.967 / 1.032 /  7
10,2-7,0.909 / 0.909 /  9,1.221 / 1.304 /  8,1.288 / 1.369 /  9,0.723 / 0.909 /  6,0.942 / 1.176 /  8
11,2-8,1.332 / 1.868 /  9,1.149 / 1.149 / 11,0.858 / 0.917 /  5,1.193 / 1.405 /  8,0.864 / 1.265 /  7
