,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.032 / 1.289 /  9,1.142 / 1.142 /  9,1.594 / 1.819 /  9,1.000 / 1.000 /  9,0.867 / 0.867 /  9
1,1-1,1.341 / 1.579 /  9,1.367 / 1.367 /  9,1.945 / 2.162 /  9,1.301 / 1.301 /  9,1.367 / 1.367 /  9
2,1-2,1.000 / 1.000 /  9,1.027 / 1.240 /  9,1.043 / 1.389 /  9,1.114 / 1.114 /  9,1.121 / 1.121 /  9
3,2-0,1.050 / 1.838 /  9,0.952 / 0.952 /  8,0.952 / 0.952 /  9,0.952 / 0.952 /  8,0.952 / 0.952 /  8
4,2-1,0.978 / 0.978 / 10,0.978 / 0.978 /  5,1.463 / 1.463 / 10,1.060 / 1.307 /  8,1.072 / 1.307 /  7
5,2-2,0.930 / 0.930 /  8,0.953 / 1.157 / 10,0.976 / 1.297 /  8,1.038 / 1.038 / 11,1.045 / 1.045 /  8
6,2-3,1.017 / 1.273 /  9,1.040 / 2.103 /  8,1.228 / 1.535 /  5,0.985 / 1.273 /  4,0.889 / 0.889 /  5
7,2-4,1.160 / 1.160 /  5,0.894 / 0.894 /  6,0.894 / 0.894 /  5,1.160 / 1.160 /  7,0.894 / 0.894 /  8
8,2-5,1.213 / 1.213 /  7,1.032 / 1.239 / 10,1.100 / 1.100 /  7,1.218 / 1.239 / 11,1.009 / 1.009 /  6
9,2-6,1.284 / 1.346 /  6,0.941 / 0.978 /  7,0.805 / 0.805 / 10,0.934 / 0.934 /  6,1.156 / 1.156 /  9
10,2-7,1.119 / 1.347 /  8,1.135 / 1.135 /  9,1.236 / 1.477 /  9,1.089 / 1.152 /  6,1.162 / 1.406 / 10
11,2-8,0.888 / 0.888 / 10,0.888 / 0.888 /  9,0.888 / 0.888 / 10,1.041 / 1.247 / 11,0.888 / 0.888 /  6
