,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.088 / 1.394 /  9,1.131 / 1.394 /  9,1.453 / 1.785 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.080 / 1.722 /  9,1.262 / 1.262 /  9,1.266 / 1.304 /  9,1.379 / 1.789 /  9,1.071 / 1.379 /  9
2,1-2,1.091 / 1.286 /  9,1.281 / 1.337 /  9,1.278 / 1.306 /  9,1.087 / 1.271 /  9,1.618 / 1.841 /  9
3,2-0,2.056 / 2.115 /  7,2.069 / 2.115 /  9,2.115 / 2.115 / 10,2.115 / 2.115 /  7,2.115 / 2.115 /  8
4,2-1,0.934 / 1.060 /  6,0.909 / 0.909 /  8,0.909 / 0.909 /  5,0.909 / 0.909 /  5,0.928 / 1.060 /  8
5,2-2,0.928 / 1.320 /  8,0.790 / 1.213 / 10,0.850 / 1.213 /  9,0.877 / 1.213 / 10,0.813 / 1.213 /  6
6,2-3,1.151 / 1.151 /  6,1.151 / 1.151 /  4,1.192 / 1.483 /  8,1.151 / 1.151 /  6,1.151 / 1.151 /  4
7,2-4,0.642 / 0.642 /  7,0.642 / 0.642 /  8,0.642 / 0.642 /  7,0.885 / 1.371 /  6,1.055 / 1.264 /  7
8,2-5,1.705 / 1.705 /  5,1.705 / 1.705 /  6,1.705 / 1.705 /  8,1.021 / 1.365 /  6,1.077 / 1.705 /  6
9,2-6,0.933 / 1.224 /  9,0.964 / 1.224 / 10,1.075 / 1.224 /  7,0.893 / 0.893 /  7,0.931 / 1.224 / 10
10,2-7,0.799 / 1.281 /  6,0.761 / 1.281 / 10,0.767 / 1.281 /  9,0.876 / 1.281 / 10,0.703 / 0.703 /  8
11,2-8,0.891 / 0.891 /  6,0.891 / 0.891 /  5,0.891 / 0.891 /  7,0.891 / 0.891 /  7,0.891 / 0.891 /  6
