,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.049 / 1.442 /  9,1.308 / 1.917 /  9,1.981 / 2.205 /  9,1.049 / 1.442 /  9,1.000 / 1.000 /  9
1,1-1,1.348 / 1.392 /  9,1.604 / 1.621 /  9,1.470 / 1.470 /  9,1.348 / 1.392 /  9,1.392 / 1.392 /  9
2,1-2,1.447 / 1.770 /  9,1.447 / 1.770 /  9,1.487 / 1.770 /  9,1.447 / 1.770 /  9,1.406 / 1.406 /  9
3,2-0,0.891 / 0.891 /  9,0.891 / 0.891 /  9,0.891 / 0.891 /  4,0.891 / 0.891 /  9,0.891 / 0.891 /  8
4,2-1,1.150 / 1.150 /  5,1.150 / 1.150 /  7,1.150 / 1.150 /  2,1.150 / 1.150 /  7,1.150 / 1.150 /  6
5,2-2,1.276 / 1.652 /  7,1.213 / 1.213 /  7,1.213 / 1.213 /  6,1.276 / 1.652 /  7,1.213 / 1.213 /  3
6,2-3,1.797 / 1.971 /  5,1.682 / 1.722 /  8,1.673 / 1.673 /  5,1.777 / 2.195 /  5,1.673 / 1.673 /  5
7,2-4,1.108 / 1.307 /  6,1.121 / 1.388 /  7,1.319 / 1.319 /  9,1.124 / 1.618 /  7,1.051 / 1.307 /  5
8,2-5,0.734 / 1.377 /  7,0.843 / 1.562 /  9,0.627 / 0.627 /  8,0.700 / 1.140 /  7,0.627 / 0.627 /  6
9,2-6,1.398 / 1.398 /  9,1.885 / 2.130 /  9,1.866 / 1.916 /  8,1.398 / 1.398 /  7,1.398 / 1.398 /  7
10,2-7,1.263 / 1.263 /  6,1.563 / 1.571 /  7,1.571 / 1.571 /  4,1.263 / 1.263 /  2,1.263 / 1.263 /  6
11,2-8,1.897 / 1.897 /  8,1.897 / 1.897 /  5,1.897 / 1.897 /  6,1.897 / 1.897 / 11,1.897 / 1.897 /  8
