,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.591 / 2.316 / 99 / 99,1.728 / 2.373 / 99 / 99,2.368 / 3.078 / 99 / 99,1.560 / 2.382 / 99 / 99,1.606 / 2.382 / 99 / 99
1,1-1,1.448 / 2.209 / 99 / 99,1.679 / 2.314 / 99 / 99,2.501 / 2.985 / 99 / 99,1.643 / 2.209 / 99 / 99,1.759 / 2.375 / 99 / 99
2,1-2,1.320 / 1.631 / 99 / 99,2.454 / 2.849 / 99 / 99,2.033 / 2.395 / 99 / 99,1.293 / 1.885 / 99 / 99,1.367 / 1.885 / 99 / 99
3,1-3,1.291 / 1.546 / 99 / 99,1.356 / 1.900 / 99 / 99,1.600 / 2.458 / 99 / 99,1.261 / 1.546 / 99 / 99,1.437 / 1.804 / 99 / 99
4,1-4,1.000 / 1.000 / 99 / 99,1.868 / 2.311 / 99 / 99,1.724 / 2.198 / 99 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99
5,1-5,1.417 / 1.810 / 99 / 99,2.453 / 2.935 / 99 / 99,1.427 / 2.414 / 99 / 99,1.425 / 1.913 / 99 / 99,1.433 / 2.020 / 99 / 99
6,1-6,1.533 / 1.839 / 99 / 99,1.769 / 1.883 / 99 / 99,1.528 / 2.153 / 99 / 99,1.539 / 1.839 / 99 / 99,1.984 / 2.195 / 99 / 99
7,1-7,1.992 / 2.126 / 99 / 99,3.222 / 3.408 / 99 / 99,3.225 / 3.707 / 99 / 99,2.018 / 2.253 / 99 / 99,2.004 / 2.126 / 99 / 99
8,1-8,1.275 / 1.358 / 99 / 99,1.234 / 1.539 / 99 / 99,1.890 / 2.643 / 99 / 99,1.192 / 1.358 / 99 / 99,1.148 / 1.358 / 99 / 99
9,1-9,1.304 / 1.959 / 99 / 99,1.428 / 1.854 / 99 / 99,2.333 / 2.969 / 99 / 99,1.475 / 1.959 / 99 / 99,1.367 / 1.959 / 99 / 99
10,2-0,0.961 / 1.517 / 50 / 50,1.122 / 1.648 / 36 / 36,0.995 / 1.577 / 39 / 39,1.044 / 1.937 / 76 / 76,1.032 / 1.937 / 59 / 59
11,2-1,0.937 / 1.165 / 76 / 76,1.261 / 1.323 / 40 / 40,1.343 / 1.772 / 53 / 53,1.006 / 1.068 / 52 / 52,0.974 / 1.068 / 40 / 40
12,2-2,0.949 / 1.154 / 59 / 59,1.160 / 1.506 / 47 / 47,1.107 / 1.435 / 39 / 39,1.000 / 1.200 / 57 / 57,0.995 / 1.455 / 45 / 45
13,2-3,1.099 / 1.567 / 59 / 59,1.091 / 2.131 / 68 / 68,1.049 / 1.259 / 22 / 22,1.081 / 1.259 / 31 / 31,1.049 / 1.567 / 63 / 63
14,2-4,1.281 / 1.879 / 61 / 61,1.132 / 1.722 / 68 / 68,1.104 / 1.665 / 50 / 50,1.348 / 2.190 / 63 / 63,1.076 / 1.568 / 31 / 31
15,2-5,0.983 / 1.380 / 42 / 42,1.226 / 1.704 / 62 / 62,1.960 / 2.296 / 50 / 50,1.189 / 1.611 / 71 / 71,1.654 / 2.262 / 42 / 42
16,2-6,0.901 / 1.369 / 60 / 60,0.897 / 1.236 / 35 / 35,0.975 / 1.369 / 45 / 45,0.888 / 0.888 / 43 / 43,0.888 / 0.888 / 38 / 38
17,2-7,1.094 / 1.347 / 39 / 39,1.033 / 1.347 / 34 / 34,1.008 / 1.347 / 35 / 35,1.089 / 1.347 / 26 / 26,1.181 / 1.347 / 50 / 50
18,2-8,1.173 / 1.643 / 36 / 36,1.075 / 1.725 / 52 / 52,1.211 / 2.020 / 60 / 60,1.041 / 1.643 / 30 / 30,1.115 / 1.643 / 37 / 37
19,2-9,0.934 / 1.428 / 64 / 64,1.000 / 1.428 / 58 / 58,0.963 / 1.255 / 36 / 36,0.939 / 1.255 / 23 / 23,0.963 / 1.255 / 46 / 46
20,2-10,1.017 / 1.395 / 37 / 37,1.010 / 1.286 / 29 / 29,0.939 / 1.286 / 64 / 64,1.151 / 1.395 / 61 / 61,1.015 / 1.395 / 47 / 47
21,2-11,1.093 / 1.481 / 44 / 44,1.019 / 1.543 / 45 / 45,1.431 / 2.075 / 58 / 58,1.005 / 1.246 / 58 / 58,1.395 / 2.241 / 49 / 49
22,2-12,1.543 / 2.120 / 73 / 73,1.366 / 2.183 / 29 / 29,1.299 / 1.402 / 13 / 13,0.909 / 0.909 / 10 / 10,1.290 / 1.686 / 44 / 44
23,2-13,1.120 / 1.789 / 60 / 60,1.394 / 2.063 / 85 / 85,1.141 / 1.791 / 48 / 48,1.193 / 1.747 / 55 / 55,1.213 / 1.747 / 23 / 23
24,2-14,1.081 / 1.386 / 63 / 63,1.001 / 1.386 / 76 / 76,1.064 / 1.386 / 31 / 31,0.998 / 1.202 / 27 / 27,1.076 / 1.202 / 58 / 58
25,2-15,1.087 / 1.190 / 45 / 45,0.977 / 1.550 / 30 / 30,1.433 / 1.673 / 74 / 74,0.976 / 1.190 / 24 / 24,1.331 / 1.620 / 59 / 59
26,2-16,1.325 / 2.242 / 65 / 65,1.706 / 2.187 / 37 / 37,1.462 / 2.463 / 45 / 45,1.397 / 2.153 / 65 / 65,1.403 / 2.153 / 63 / 63
27,2-17,1.394 / 2.046 / 61 / 61,1.192 / 2.046 / 44 / 44,1.269 / 2.228 / 45 / 45,1.274 / 2.046 / 52 / 52,1.191 / 1.694 / 41 / 41
28,2-18,1.033 / 1.240 / 57 / 57,1.134 / 1.240 / 46 / 46,1.129 / 1.240 / 44 / 44,1.132 / 1.240 / 44 / 44,1.101 / 1.240 / 32 / 32
29,2-19,1.361 / 1.725 / 42 / 42,1.270 / 1.789 / 74 / 74,1.507 / 1.935 / 42 / 42,1.478 / 1.478 / 4 / 4,1.525 / 1.898 / 32 / 32
30,2-20,0.895 / 0.895 / 49 / 49,0.895 / 0.895 / 30 / 30,1.350 / 1.532 / 73 / 73,0.895 / 0.895 / 69 / 69,0.895 / 0.895 / 58 / 58
31,2-21,1.048 / 1.543 / 44 / 44,1.349 / 2.284 / 46 / 46,1.278 / 1.564 / 9 / 9,1.092 / 1.380 / 62 / 62,1.181 / 1.830 / 68 / 68
32,2-22,1.035 / 1.298 / 37 / 37,0.953 / 1.236 / 35 / 35,0.930 / 1.236 / 28 / 28,1.015 / 1.397 / 46 / 46,0.965 / 1.298 / 50 / 50
33,2-23,1.091 / 1.344 / 71 / 71,1.047 / 1.391 / 63 / 63,1.020 / 1.391 / 55 / 55,1.008 / 1.344 / 52 / 52,1.018 / 1.344 / 62 / 62
34,2-24,1.104 / 1.400 / 62 / 62,1.065 / 1.400 / 43 / 43,1.081 / 1.400 / 41 / 41,1.047 / 1.400 / 43 / 43,1.026 / 1.400 / 55 / 55
35,2-25,0.894 / 0.894 / 28 / 28,0.894 / 0.894 / 50 / 50,0.903 / 1.293 / 48 / 48,0.900 / 1.293 / 76 / 76,0.894 / 0.894 / 51 / 51
36,2-26,0.995 / 1.474 / 47 / 47,1.097 / 1.242 / 70 / 70,1.675 / 2.336 / 46 / 46,1.092 / 1.474 / 47 / 47,1.478 / 1.855 / 46 / 46
37,2-27,1.276 / 1.997 / 58 / 58,1.174 / 1.675 / 58 / 58,0.963 / 1.552 / 30 / 30,1.065 / 1.304 / 42 / 42,1.133 / 1.675 / 18 / 18
38,2-28,1.120 / 1.504 / 42 / 42,1.024 / 1.527 / 42 / 42,1.213 / 1.953 / 55 / 55,1.045 / 1.436 / 54 / 54,0.993 / 1.232 / 39 / 39
39,2-29,1.130 / 1.269 / 44 / 44,1.026 / 1.269 / 46 / 46,1.024 / 1.269 / 43 / 43,1.031 / 1.269 / 50 / 50,1.059 / 1.269 / 50 / 50
