,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.113 / 1.266 / 99 / 99,1.817 / 1.964 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.105 / 1.266 / 99 / 99,1.113 / 1.266 / 99 / 99
1,1-1,1.289 / 1.582 / 99 / 99,2.343 / 2.795 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.237 / 1.582 / 99 / 99,1.257 / 1.582 / 99 / 99
2,1-2,1.238 / 1.395 / 99 / 99,1.279 / 1.395 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.217 / 1.395 / 99 / 99,1.184 / 1.395 / 99 / 99
3,1-3,1.484 / 1.750 / 99 / 99,1.583 / 1.981 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.448 / 1.712 / 99 / 99,1.513 / 1.656 / 99 / 99
4,1-4,1.770 / 1.967 / 99 / 99,2.047 / 2.719 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.723 / 1.967 / 99 / 99,1.834 / 1.998 / 99 / 99
5,1-5,1.259 / 1.825 / 99 / 99,1.348 / 1.860 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.312 / 1.783 / 99 / 99,1.557 / 1.897 / 99 / 99
6,1-6,1.456 / 1.875 / 99 / 99,2.137 / 2.639 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.612 / 2.019 / 99 / 99,1.663 / 2.078 / 99 / 99
7,1-7,1.313 / 1.543 / 99 / 99,1.135 / 1.782 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.329 / 1.543 / 99 / 99,1.313 / 1.543 / 99 / 99
8,1-8,1.336 / 1.968 / 99 / 99,1.480 / 1.939 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.382 / 1.968 / 99 / 99,1.615 / 1.993 / 99 / 99
9,1-9,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99
10,2-0,1.173 / 1.614 / 35 / 35,0.950 / 1.307 / 58 / 58,-1.000 / -1.000 / 0 / 48,1.046 / 1.614 / 46 / 46,0.982 / 1.307 / 58 / 58
11,2-1,1.182 / 1.512 / 60 / 60,1.674 / 2.156 / 63 / 63,-1.000 / -1.000 / 0 / 46,1.267 / 1.644 / 72 / 72,1.263 / 1.396 / 36 / 36
12,2-2,1.256 / 1.754 / 36 / 36,1.714 / 2.332 / 35 / 35,-1.000 / -1.000 / 0 / 25,1.245 / 2.168 / 40 / 40,1.355 / 2.168 / 55 / 55
13,2-3,1.142 / 1.376 / 66 / 66,1.046 / 1.372 / 61 / 61,-1.000 / -1.000 / 0 / 43,1.060 / 1.372 / 53 / 53,1.029 / 1.346 / 43 / 43
