,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.022 / 1.138 / 99 / 99,1.331 / 1.414 / 99 / 99,1.369 / 1.536 / 99 / 99,1.036 / 1.138 / 99 / 99,2.463 / 2.755 / 99 / 99
1,1-1,1.532 / 2.142 / 99 / 99,1.880 / 2.895 / 99 / 99,2.496 / 3.352 / 99 / 99,1.639 / 2.142 / 99 / 99,1.791 / 2.142 / 99 / 99
2,1-2,1.000 / 1.000 / 99 / 99,1.195 / 1.345 / 99 / 99,1.315 / 1.645 / 99 / 99,1.000 / 1.000 / 99 / 99,3.547 / 3.547 / 99 / 99
3,1-3,1.548 / 2.418 / 99 / 99,1.856 / 2.418 / 99 / 99,1.972 / 2.283 / 99 / 99,1.650 / 2.192 / 99 / 99,1.792 / 2.436 / 99 / 99
4,1-4,1.000 / 1.000 / 99 / 99,1.593 / 1.752 / 99 / 99,2.025 / 2.025 / 99 / 99,1.000 / 1.000 / 99 / 99,2.409 / 2.422 / 99 / 99
5,1-5,1.447 / 2.111 / 99 / 99,1.906 / 2.564 / 99 / 99,1.782 / 2.248 / 99 / 99,1.445 / 2.111 / 99 / 99,1.546 / 2.111 / 99 / 99
6,1-6,1.045 / 1.184 / 99 / 99,2.218 / 2.499 / 99 / 99,1.166 / 1.166 / 99 / 99,1.019 / 1.184 / 99 / 99,1.406 / 1.508 / 99 / 99
7,1-7,1.613 / 2.609 / 99 / 99,2.049 / 2.753 / 99 / 99,3.034 / 3.669 / 99 / 99,2.082 / 2.843 / 99 / 99,1.761 / 2.676 / 99 / 99
8,1-8,1.867 / 2.781 / 99 / 99,3.376 / 4.078 / 99 / 99,2.424 / 3.070 / 99 / 99,2.104 / 2.781 / 99 / 99,1.997 / 2.781 / 99 / 99
9,1-9,1.637 / 1.637 / 99 / 99,1.424 / 1.424 / 99 / 99,1.424 / 1.424 / 99 / 99,1.637 / 1.637 / 99 / 99,1.424 / 1.424 / 99 / 99
