,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.002 / 1.004 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.001 / 1.004 / 99 / 99
1,1-1,1.213 / 1.406 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.173 / 1.406 / 99 / 99
2,1-2,1.401 / 1.673 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.337 / 1.673 / 99 / 99
3,1-3,1.616 / 1.731 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.621 / 1.731 / 99 / 99
4,1-4,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99
5,1-5,1.418 / 1.733 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.174 / 1.733 / 99 / 99
6,2-0,1.107 / 1.305 / 39 / 39,-1.000 / -1.000 / 0 / 42,-1.000 / -1.000 / 0 / 46,1.013 / 1.265 / 21 / 21
7,2-1,1.366 / 1.458 / 73 / 73,-1.000 / -1.000 / 0 / 32,-1.000 / -1.000 / 0 / 38,1.361 / 1.458 / 56 / 56
8,2-2,2.405 / 2.426 / 69 / 69,-1.000 / -1.000 / 0 / 65,-1.000 / -1.000 / 0 / 54,2.442 / 2.766 / 64 / 64
9,2-3,1.079 / 1.309 / 72 / 72,-1.000 / -1.000 / 0 / 49,-1.000 / -1.000 / 0 / 56,1.028 / 1.309 / 38 / 38
10,2-4,1.194 / 1.785 / 66 / 66,-1.000 / -1.000 / 0 / 33,-1.000 / -1.000 / 0 / 31,1.728 / 1.793 / 75 / 75
11,2-5,1.633 / 1.633 / 40 / 40,-1.000 / -1.000 / 0 / 26,-1.000 / -1.000 / 0 / 53,1.714 / 2.966 / 49 / 49
12,2-6,1.731 / 2.307 / 44 / 44,-1.000 / -1.000 / 0 / 55,-1.000 / -1.000 / 0 / 56,1.839 / 2.307 / 43 / 43
13,2-7,1.212 / 1.233 / 42 / 42,-1.000 / -1.000 / 0 / 57,-1.000 / -1.000 / 0 / 58,1.212 / 1.212 / 69 / 69
14,2-8,1.138 / 1.729 / 73 / 73,-1.000 / -1.000 / 0 / 77,-1.000 / -1.000 / 0 / 50,1.048 / 1.729 / 27 / 27
15,2-9,0.983 / 1.258 / 45 / 45,-1.000 / -1.000 / 0 / 40,-1.000 / -1.000 / 0 / 60,1.033 / 1.258 / 52 / 52
16,2-10,1.266 / 1.266 / 74 / 74,-1.000 / -1.000 / 0 / 37,-1.000 / -1.000 / 0 / 26,1.266 / 1.266 / 54 / 54
17,2-11,1.402 / 1.402 / 49 / 49,-1.000 / -1.000 / 0 / 58,-1.000 / -1.000 / 0 / 65,1.402 / 1.402 / 46 / 46
