,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.257 / 1.516 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.685 / 1.924 / 99 / 99,1.121 / 1.441 / 99 / 99
1,1-1,1.011 / 1.270 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.530 / 1.839 / 99 / 99,1.122 / 1.242 / 99 / 99
2,1-2,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.385 / 1.642 / 99 / 99,1.288 / 1.288 / 99 / 99
3,1-3,1.266 / 1.362 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.214 / 1.606 / 99 / 99,1.178 / 1.362 / 99 / 99
4,1-4,1.912 / 2.163 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.114 / 1.204 / 99 / 99,1.177 / 1.388 / 99 / 99
5,1-5,1.415 / 1.801 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.611 / 2.350 / 99 / 99,1.702 / 1.926 / 99 / 99
6,2-0,1.031 / 1.377 / 66 / 66,-1.000 / -1.000 / 0 / 69,0.930 / 0.930 / 57 / 57,0.930 / 0.930 / 43 / 43
7,2-1,1.720 / 2.095 / 46 / 46,-1.000 / -1.000 / 0 / 43,1.684 / 2.095 / 14 / 14,1.674 / 2.095 / 59 / 59
8,2-2,2.764 / 3.021 / 56 / 56,-1.000 / -1.000 / 0 / 28,2.573 / 3.021 / 59 / 59,2.446 / 3.021 / 41 / 41
9,2-3,2.247 / 2.460 / 64 / 64,-1.000 / -1.000 / 0 / 51,2.158 / 2.460 / 43 / 43,2.192 / 2.300 / 31 / 31
10,2-4,1.947 / 2.030 / 44 / 44,-1.000 / -1.000 / 0 / 73,1.895 / 2.030 / 69 / 69,1.804 / 2.030 / 49 / 49
11,2-5,1.689 / 1.730 / 71 / 71,-1.000 / -1.000 / 0 / 75,1.650 / 1.730 / 51 / 51,1.703 / 1.730 / 47 / 47
12,2-6,3.541 / 4.254 / 78 / 78,-1.000 / -1.000 / 0 / 48,3.432 / 3.897 / 45 / 45,3.501 / 4.093 / 31 / 31
13,2-7,1.173 / 1.173 / 53 / 53,-1.000 / -1.000 / 0 / 41,1.173 / 1.173 / 66 / 66,1.173 / 1.173 / 72 / 72
14,2-8,1.624 / 1.933 / 44 / 44,-1.000 / -1.000 / 0 / 46,1.034 / 1.207 / 65 / 65,1.662 / 1.904 / 63 / 63
15,2-9,1.882 / 2.155 / 82 / 82,-1.000 / -1.000 / 0 / 57,1.813 / 2.155 / 74 / 74,1.711 / 2.055 / 13 / 13
16,2-10,0.895 / 0.895 / 56 / 56,-1.000 / -1.000 / 0 / 68,0.895 / 0.895 / 68 / 68,0.895 / 0.895 / 56 / 56
17,2-11,1.563 / 1.563 / 60 / 60,-1.000 / -1.000 / 0 / 56,1.563 / 1.563 / 35 / 35,1.563 / 1.563 / 40 / 40
