,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.275 / 1.473 /  9,1.975 / 1.975 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.000 / 1.000 /  9,0.921 / 0.921 /  9,1.410 / 1.827 /  9,1.010 / 1.087 /  9,0.993 / 0.993 /  9
2,1-2,1.459 / 1.690 /  9,1.469 / 1.702 /  9,2.039 / 2.062 /  9,1.446 / 1.500 /  9,1.431 / 1.431 /  9
3,1-3,1.084 / 1.380 /  9,1.262 / 1.706 /  9,1.446 / 2.091 /  9,1.042 / 1.380 /  9,1.000 / 1.000 /  9
4,1-4,1.054 / 1.488 /  9,1.043 / 1.389 /  9,1.000 / 1.000 /  9,1.043 / 1.389 /  9,1.054 / 1.488 /  9
5,1-5,1.314 / 1.353 /  9,1.394 / 1.721 /  9,1.370 / 1.511 /  9,1.394 / 1.721 /  9,1.314 / 1.353 /  9
6,2-0,0.895 / 0.895 /  7,0.895 / 0.895 /  8,0.967 / 1.256 /  5,0.895 / 0.895 /  5,0.895 / 0.895 /  5
7,2-1,1.094 / 1.094 /  5,0.997 / 1.163 /  7,1.211 / 1.211 /  7,0.930 / 0.930 /  2,1.094 / 1.094 /  6
8,2-2,0.895 / 0.895 /  6,0.895 / 0.895 /  7,0.895 / 0.895 /  8,1.035 / 1.035 / 12,0.895 / 0.895 /  7
9,2-3,1.580 / 1.580 /  7,1.506 / 1.938 /  8,1.727 / 1.729 /  5,1.158 / 1.158 /  6,1.700 / 1.938 /  3
10,2-4,0.945 / 1.389 /  7,1.240 / 1.683 /  7,0.715 / 0.715 / 11,0.936 / 1.389 /  8,0.923 / 1.389 / 10
11,2-5,0.919 / 0.919 /  7,0.907 / 1.143 /  5,1.307 / 1.944 / 10,0.949 / 1.217 / 10,0.955 / 1.208 /  7
