,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.256 / 1.288 /  9,1.370 / 1.633 /  9,1.293 / 1.331 /  9,1.256 / 1.288 /  9,1.000 / 1.000 /  9
1,1-1,1.028 / 1.080 /  9,1.137 / 1.137 /  9,1.539 / 1.539 /  9,1.036 / 1.044 /  9,0.867 / 1.176 /  9
2,1-2,1.169 / 1.721 /  9,1.067 / 1.303 /  9,1.770 / 1.851 /  9,1.035 / 1.313 /  9,1.386 / 1.574 /  9
3,1-3,1.000 / 1.000 /  9,1.044 / 1.044 /  9,1.328 / 1.551 /  9,1.000 / 1.000 /  9,1.231 / 1.374 /  9
4,1-4,1.456 / 1.951 /  9,1.734 / 1.957 /  9,1.597 / 1.597 /  9,1.704 / 2.090 /  9,2.316 / 2.523 /  9
5,1-5,1.000 / 1.000 /  9,1.661 / 1.938 /  9,1.547 / 1.547 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
6,2-0,0.968 / 1.257 /  5,0.895 / 0.895 /  8,0.895 / 0.895 /  8,0.895 / 0.895 /  8,1.845 / 1.869 / 10
7,2-1,1.117 / 1.117 /  9,1.208 / 1.208 /  6,0.892 / 0.892 /  6,1.117 / 1.117 /  4,1.740 / 1.740 /  5
8,2-2,1.229 / 1.301 /  7,0.971 / 0.971 /  5,1.242 / 1.492 /  7,1.200 / 1.200 /  5,0.817 / 0.817 /  7
9,2-3,0.893 / 0.893 /  3,0.893 / 0.893 /  7,1.643 / 1.643 /  3,0.893 / 0.893 /  9,0.893 / 0.893 /  6
10,2-4,0.893 / 0.893 /  7,0.893 / 0.893 /  7,0.893 / 0.893 /  7,0.893 / 0.893 / 10,0.893 / 0.893 /  9
11,2-5,1.122 / 1.122 /  6,1.122 / 1.122 /  8,1.064 / 1.074 /  7,1.122 / 1.122 /  5,1.720 / 1.895 /  9
