,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.079 / 1.079 /  9,1.145 / 1.376 /  9,1.066 / 1.297 /  9,1.724 / 1.724 /  9
1,1-1,1.443 / 1.443 /  9,1.443 / 1.443 /  9,2.230 / 2.635 /  8,1.534 / 1.853 /  9,1.443 / 1.443 /  9
2,1-2,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
3,1-3,1.000 / 1.000 /  9,1.644 / 1.673 /  9,1.321 / 1.440 /  9,1.033 / 1.299 /  9,1.185 / 1.185 /  9
4,1-4,1.071 / 1.320 /  9,1.061 / 1.108 /  9,1.006 / 1.057 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
5,1-5,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
6,2-0,1.093 / 1.093 /  9,1.093 / 1.093 /  8,1.093 / 1.093 /  8,1.093 / 1.093 / 10,1.093 / 1.093 /  8
7,2-1,0.894 / 0.894 /  9,1.171 / 1.171 /  4,1.404 / 3.270 /  9,1.069 / 2.466 /  9,0.894 / 0.894 /  5
8,2-2,0.952 / 0.952 /  6,0.952 / 0.952 /  9,1.696 / 1.696 /  5,0.952 / 0.952 /  4,0.952 / 0.952 /  7
9,2-3,0.898 / 0.898 /  7,0.658 / 0.658 /  7,0.658 / 0.658 /  8,0.910 / 1.023 / 11,0.898 / 0.898 /  5
10,2-4,0.888 / 0.888 /  9,0.888 / 0.888 /  8,0.888 / 0.888 /  7,0.913 / 1.065 /  7,0.888 / 0.888 /  6
11,2-5,1.809 / 1.905 /  9,1.797 / 1.797 /  6,1.797 / 1.797 /  7,1.797 / 1.797 /  4,1.844 / 2.221 /  9
