,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.276 / 1.276 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,0.901 / 0.901 /  9
1,1-1,0.853 / 1.000 /  9,-1.000 / -1.000 /  0,1.060 / 1.600 /  9,0.853 / 1.000 /  9,0.887 / 1.308 /  9
2,1-2,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.407 / 1.620 /  9,2.149 / 2.346 /  9
3,1-3,1.128 / 1.387 /  9,-1.000 / -1.000 /  0,1063.523 / 2126.681 /  4,1.000 / 1.000 /  9,1.043 / 1.387 /  9
4,1-4,1.555 / 1.814 /  9,-1.000 / -1.000 /  0,2810.036 / 5617.969 / 13151,1.645 / 1.657 /  9,1.470 / 1.814 /  9
5,1-5,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,838.001 / 1674.915 /  2,1.022 / 1.194 /  9,1.000 / 1.000 /  9
6,2-0,1.304 / 1.304 /  8,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.344 / 1.626 /  8,0.906 / 0.906 /  9
7,2-1,1.123 / 1.123 / 11,-1.000 / -1.000 /  0,1176.592 / 1423.491 /  3,1.294 / 1.466 /  8,1.057 / 1.730 /  9
8,2-2,0.953 / 1.264 /  6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.085 / 1.085 /  8,0.966 / 1.264 /  5
9,2-3,1.622 / 1.827 /  4,-1.000 / -1.000 /  0,977.502 / 1718.866 /  4,1.511 / 1.511 /  7,1.096 / 1.096 /  8
10,2-4,0.917 / 0.917 /  9,-1.000 / -1.000 /  0,858.677 / 1809.220 /  4,0.830 / 0.917 /  6,1.142 / 1.406 /  9
11,2-5,0.936 / 1.104 /  8,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,0.993 / 1.208 /  8,0.852 / 0.852 /  6
