,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,1.671 / 1.801 / 99 / 99,1.404 / 1.533 / 99 / 99
1,1-1,1.489 / 1.854 / 99 / 99,1.740 / 1.956 / 99 / 99,2.092 / 2.481 / 99 / 99,1.577 / 1.857 / 99 / 99
2,2-0,1.078 / 1.231 / 33 / 33,1.272 / 1.421 / 72 / 72,1.477 / 1.871 / 42 / 42,1.104 / 1.306 / 68 / 68
3,2-1,0.990 / 1.225 / 72 / 72,0.946 / 1.225 / 50 / 50,1.653 / 1.928 / 60 / 60,0.922 / 1.225 / 56 / 56
4,2-2,1.947 / 2.149 / 54 / 54,2.044 / 2.044 / 8 / 8,1.799 / 2.348 / 56 / 56,2.206 / 2.379 / 52 / 52
5,2-3,1.198 / 1.198 / 41 / 41,1.198 / 1.198 / 56 / 56,0.889 / 0.889 / 54 / 54,1.057 / 1.057 / 43 / 43
6,2-4,1.349 / 1.505 / 40 / 40,1.343 / 1.610 / 59 / 59,1.682 / 1.881 / 60 / 60,1.198 / 1.485 / 54 / 54
7,2-5,1.253 / 1.400 / 50 / 50,1.251 / 1.400 / 67 / 67,1.510 / 1.636 / 34 / 34,1.135 / 1.400 / 40 / 40
8,2-6,0.785 / 1.111 / 66 / 66,0.764 / 0.764 / 51 / 51,0.764 / 0.764 / 61 / 61,0.764 / 0.764 / 38 / 38
9,2-7,0.941 / 0.941 / 34 / 34,0.941 / 0.941 / 56 / 56,0.941 / 0.941 / 64 / 64,0.941 / 0.941 / 54 / 54
