,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,8.008 / 562.453 / 87 / 99,1.000 / 1.000 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.426 / 1.559 / 99 / 99,1.000 / 1.000 / 99 / 99
2,1-2,2.066 / 2.875 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.547 / 3.246 / 75 / 99,1.850 / 2.875 / 99 / 99
3,1-3,1.600 / 2.546 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.181 / 2.805 / 99 / 99,1.441 / 2.261 / 99 / 99
4,1-4,2.200 / 2.906 / 99 / 99,-1.000 / -1.000 / 0 / 99,7.579 / 516.203 / 99 / 99,2.366 / 2.793 / 99 / 99
5,1-5,2.252 / 2.710 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.606 / 3.240 / 99 / 99,2.008 / 2.710 / 99 / 99
6,2-0,1.928 / 3.011 / 48 / 48,-1.000 / -1.000 / 0 / 46,1.946 / 3.178 / 62 / 62,1.854 / 2.693 / 36 / 36
7,2-1,1.840 / 2.322 / 67 / 67,-1.000 / -1.000 / 0 / 58,1.901 / 2.322 / 52 / 52,1.714 / 2.303 / 36 / 36
8,2-2,3.059 / 3.333 / 32 / 32,-1.000 / -1.000 / 0 / 61,2.919 / 4.175 / 51 / 51,2.963 / 3.079 / 23 / 23
9,2-3,3.659 / 4.195 / 23 / 23,-1.000 / -1.000 / 0 / 27,3.750 / 4.922 / 65 / 65,3.662 / 4.480 / 34 / 34
10,2-4,1.925 / 2.511 / 47 / 47,-1.000 / -1.000 / 0 / 69,2.424 / 2.760 / 40 / 40,1.849 / 2.768 / 50 / 50
11,2-5,2.149 / 2.803 / 64 / 64,-1.000 / -1.000 / 0 / 21,2.058 / 2.903 / 46 / 46,1.984 / 2.803 / 46 / 46
12,2-6,1.581 / 2.225 / 38 / 38,-1.000 / -1.000 / 0 / 55,13.060 / 437.621 / 39 / 39,1.611 / 2.225 / 75 / 75
13,2-7,1.501 / 1.700 / 66 / 66,-1.000 / -1.000 / 0 / 74,1.498 / 1.700 / 57 / 57,1.468 / 1.700 / 86 / 86
14,2-8,1.582 / 2.071 / 48 / 48,-1.000 / -1.000 / 0 / 37,1.821 / 2.534 / 39 / 60,1.619 / 2.286 / 47 / 47
15,2-9,1.926 / 3.012 / 47 / 47,-1.000 / -1.000 / 0 / 43,1.893 / 3.912 / 49 / 49,1.758 / 2.083 / 26 / 26
16,2-10,2.012 / 2.677 / 43 / 43,-1.000 / -1.000 / 0 / 39,13.382 / 613.412 / 50 / 50,1.943 / 2.503 / 39 / 39
17,2-11,1.605 / 1.782 / 37 / 37,-1.000 / -1.000 / 0 / 44,9.646 / 388.786 / 45 / 45,1.459 / 1.643 / 62 / 62
18,2-12,3.145 / 3.785 / 68 / 68,-1.000 / -1.000 / 0 / 47,2.963 / 3.570 / 61 / 61,3.175 / 4.147 / 51 / 51
19,2-13,1.548 / 2.124 / 71 / 71,-1.000 / -1.000 / 0 / 61,1.818 / 2.274 / 50 / 50,1.539 / 1.858 / 62 / 62
20,2-14,1.221 / 1.530 / 23 / 23,-1.000 / -1.000 / 0 / 50,2.398 / 3.168 / 61 / 61,1.228 / 2.111 / 31 / 31
21,2-15,1.762 / 1.918 / 68 / 68,-1.000 / -1.000 / 0 / 32,1.732 / 2.068 / 56 / 56,1.757 / 1.918 / 38 / 38
22,2-16,1.004 / 1.063 / 43 / 43,-1.000 / -1.000 / 0 / 48,0.989 / 1.063 / 37 / 37,1.040 / 1.063 / 63 / 63
23,2-17,1.580 / 1.973 / 48 / 48,-1.000 / -1.000 / 0 / 50,1.902 / 2.323 / 48 / 66,1.666 / 2.111 / 61 / 61
24,2-18,1.501 / 2.246 / 38 / 38,-1.000 / -1.000 / 0 / 54,2.248 / 3.156 / 37 / 37,1.262 / 1.567 / 17 / 17
25,2-19,2.246 / 2.872 / 59 / 59,-1.000 / -1.000 / 0 / 65,2.305 / 3.086 / 27 / 42,2.264 / 2.571 / 53 / 53
26,2-20,1.005 / 2.562 / 47 / 47,-1.000 / -1.000 / 0 / 23,1.067 / 1.836 / 63 / 63,1.808 / 3.089 / 62 / 62
27,2-21,2.858 / 3.267 / 48 / 48,-1.000 / -1.000 / 0 / 55,3.190 / 4.232 / 27 / 27,2.997 / 3.270 / 45 / 45
28,2-22,1.486 / 1.986 / 53 / 53,-1.000 / -1.000 / 0 / 37,1.298 / 1.611 / 39 / 39,1.408 / 1.986 / 44 / 44
29,2-23,1.514 / 2.350 / 31 / 31,-1.000 / -1.000 / 0 / 49,1.270 / 1.270 / 44 / 44,2.161 / 2.350 / 57 / 57
