,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.307 / 1.751 / 99 / 99,2.372 / 3.138 / 99 / 99,2.246 / 2.584 / 99 / 99,1.349 / 1.751 / 99 / 99
1,1-1,1.428 / 1.682 / 99 / 99,1.513 / 1.893 / 99 / 99,1.347 / 1.713 / 99 / 99,1.392 / 1.682 / 99 / 99
2,1-2,1.268 / 1.364 / 99 / 99,1.191 / 1.364 / 99 / 99,2.169 / 2.527 / 99 / 99,1.107 / 1.364 / 99 / 99
3,1-3,1.400 / 1.569 / 99 / 99,1.317 / 1.506 / 99 / 99,1.250 / 2.117 / 99 / 99,1.348 / 1.569 / 99 / 99
4,1-4,1.265 / 1.591 / 99 / 99,1.753 / 2.113 / 99 / 99,1.618 / 1.809 / 99 / 99,1.278 / 1.413 / 99 / 99
5,1-5,1.376 / 2.007 / 99 / 99,2.360 / 2.888 / 99 / 99,1.671 / 1.944 / 99 / 99,1.312 / 1.648 / 99 / 99
6,2-0,0.724 / 0.724 / 41 / 41,0.724 / 0.724 / 41 / 41,1.480 / 1.627 / 58 / 58,0.724 / 0.724 / 47 / 47
7,2-1,1.266 / 1.599 / 37 / 37,1.004 / 1.666 / 41 / 41,0.974 / 1.727 / 70 / 70,0.967 / 1.250 / 46 / 46
8,2-2,0.867 / 1.198 / 44 / 44,0.796 / 1.450 / 57 / 57,1.013 / 1.951 / 46 / 46,1.415 / 1.703 / 45 / 45
9,2-3,1.352 / 1.739 / 39 / 39,0.918 / 0.918 / 42 / 42,0.918 / 0.918 / 53 / 53,0.918 / 0.918 / 42 / 42
10,2-4,0.893 / 1.231 / 47 / 47,1.347 / 1.886 / 47 / 47,1.379 / 1.759 / 40 / 40,1.121 / 1.376 / 65 / 65
11,2-5,0.749 / 1.072 / 60 / 60,1.013 / 1.518 / 63 / 63,1.205 / 1.466 / 30 / 30,0.632 / 0.854 / 54 / 54
12,2-6,1.059 / 1.337 / 72 / 72,1.486 / 1.743 / 52 / 52,1.067 / 1.337 / 57 / 57,1.276 / 1.337 / 28 / 28
13,2-7,1.216 / 1.501 / 58 / 58,1.263 / 1.501 / 36 / 36,1.339 / 1.515 / 55 / 55,1.003 / 1.202 / 41 / 41
14,2-8,0.975 / 1.299 / 44 / 44,0.970 / 1.834 / 82 / 82,1.280 / 1.721 / 67 / 67,0.737 / 1.178 / 48 / 48
15,2-9,0.794 / 1.396 / 69 / 69,1.411 / 2.010 / 85 / 85,0.898 / 1.253 / 42 / 42,1.028 / 1.378 / 80 / 80
16,2-10,0.931 / 0.931 / 23 / 23,0.988 / 1.396 / 61 / 61,1.095 / 1.396 / 25 / 25,1.129 / 1.270 / 53 / 53
17,2-11,1.113 / 1.369 / 67 / 67,1.049 / 1.276 / 65 / 65,1.065 / 1.296 / 53 / 53,1.130 / 2.074 / 49 / 49
