,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.366 / 2.311 / 99 / 99,1.549 / 2.311 / 99 / 99,1.331 / 2.273 / 99 / 99,1.369 / 2.273 / 99 / 99
1,1-1,1.981 / 2.938 / 99 / 99,2.097 / 2.765 / 99 / 99,1.916 / 2.731 / 99 / 99,2.024 / 2.965 / 99 / 99
2,2-0,1.494 / 2.414 / 72 / 72,1.358 / 2.097 / 49 / 49,1.221 / 1.643 / 42 / 42,1.561 / 2.097 / 43 / 43
3,2-1,1.249 / 1.919 / 49 / 49,1.336 / 1.919 / 77 / 77,1.473 / 2.260 / 60 / 60,1.296 / 2.160 / 64 / 64
4,2-2,1.468 / 2.070 / 34 / 34,1.482 / 2.205 / 49 / 49,1.220 / 1.947 / 39 / 39,1.171 / 1.786 / 40 / 40
5,2-3,0.615 / 0.615 / 55 / 55,0.615 / 0.615 / 39 / 39,0.615 / 0.615 / 60 / 60,0.615 / 0.615 / 52 / 52
6,2-4,1.100 / 1.100 / 53 / 53,1.100 / 1.100 / 73 / 73,1.100 / 1.100 / 48 / 48,1.100 / 1.100 / 49 / 49
7,2-5,0.900 / 1.212 / 66 / 66,0.883 / 1.162 / 55 / 55,0.790 / 1.212 / 39 / 39,0.890 / 1.212 / 73 / 73
8,2-6,1.032 / 1.356 / 26 / 26,1.134 / 2.278 / 42 / 42,1.474 / 2.012 / 49 / 49,1.393 / 2.134 / 50 / 50
9,2-7,0.979 / 1.292 / 49 / 49,1.171 / 1.564 / 76 / 76,1.070 / 1.623 / 49 / 49,0.973 / 1.292 / 39 / 39
