,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.162 / 1.444 / 99 / 99,1.300 / 1.444 / 99 / 99,1.640 / 1.890 / 99 / 99,1.111 / 1.444 / 99 / 99
1,1-1,1.110 / 1.309 / 99 / 99,1.050 / 1.110 / 99 / 99,0.872 / 0.949 / 99 / 99,0.914 / 1.110 / 99 / 99
2,1-2,1.392 / 1.650 / 99 / 99,1.247 / 1.650 / 99 / 99,1.742 / 2.101 / 99 / 99,1.332 / 1.701 / 99 / 99
3,1-3,1.430 / 2.174 / 99 / 99,1.545 / 2.174 / 99 / 99,1.537 / 2.147 / 99 / 99,1.278 / 2.127 / 99 / 99
4,1-4,1.836 / 2.172 / 99 / 99,1.577 / 1.688 / 99 / 99,1.940 / 2.082 / 99 / 99,1.689 / 1.932 / 99 / 99
5,1-5,1.698 / 1.983 / 99 / 99,1.679 / 1.878 / 99 / 99,2.194 / 2.281 / 99 / 99,1.555 / 1.878 / 99 / 99
6,2-0,1.387 / 1.665 / 63 / 63,1.426 / 1.665 / 55 / 55,0.808 / 1.061 / 65 / 65,1.357 / 1.579 / 34 / 34
7,2-1,1.176 / 1.954 / 50 / 50,0.898 / 0.898 / 18 / 18,1.033 / 1.354 / 27 / 27,1.098 / 1.954 / 35 / 35
8,2-2,0.967 / 1.318 / 76 / 76,0.981 / 1.276 / 68 / 68,1.072 / 1.636 / 42 / 42,0.891 / 0.891 / 20 / 20
9,2-3,1.397 / 1.706 / 23 / 23,1.506 / 1.855 / 54 / 54,1.112 / 1.613 / 66 / 66,1.410 / 1.855 / 43 / 43
10,2-4,1.433 / 1.466 / 43 / 43,1.444 / 1.579 / 51 / 51,1.347 / 1.419 / 31 / 31,1.368 / 1.579 / 49 / 49
11,2-5,0.924 / 0.975 / 39 / 39,0.796 / 1.763 / 77 / 77,1.441 / 1.648 / 78 / 78,0.783 / 0.783 / 23 / 23
12,2-6,1.595 / 1.914 / 34 / 34,1.586 / 1.914 / 38 / 38,1.361 / 1.583 / 83 / 83,1.595 / 1.914 / 30 / 30
13,2-7,1.036 / 1.879 / 64 / 64,1.715 / 2.091 / 51 / 51,1.618 / 2.326 / 31 / 31,1.634 / 1.786 / 47 / 47
14,2-8,1.344 / 1.667 / 52 / 52,1.254 / 1.687 / 52 / 52,1.050 / 1.405 / 31 / 31,1.277 / 1.687 / 50 / 50
15,2-9,0.899 / 0.899 / 50 / 50,0.920 / 1.365 / 23 / 23,0.969 / 1.356 / 48 / 48,1.007 / 1.683 / 56 / 56
16,2-10,1.230 / 1.431 / 67 / 67,1.061 / 1.431 / 48 / 48,1.119 / 1.444 / 42 / 42,1.172 / 1.225 / 46 / 46
17,2-11,1.420 / 1.720 / 51 / 51,1.388 / 1.612 / 43 / 43,1.323 / 1.773 / 57 / 57,1.233 / 1.749 / 59 / 59
