,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.027 / 1.244 /  9,552.089 / 1654.025 /  3
1,1-1,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.788 / 1.886 /  9,1.000 / 1.000 /  1
2,1-2,1.090 / 1.090 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.018 / 1.090 /  9,1.140 / 1.140 /  1
3,1-3,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,1.000 / 1.000 /  1
4,1-4,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.165 / 1.417 /  9,1872.464 / 3743.852 / 11594
5,1-5,1.449 / 1.449 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.449 / 1.449 /  9,520.830 / 1559.206 /  3
6,2-0,1.553 / 1.553 /  6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.723 / 1.723 /  7,-1.000 / -1.000 /  0
7,2-1,1.281 / 1.281 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.281 / 1.281 /  9,-1.000 / -1.000 /  0
8,2-2,1.599 / 1.599 /  7,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.774 / 1.774 /  5,-1.000 / -1.000 /  0
9,2-3,0.889 / 0.889 /  8,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,0.889 / 0.889 /  7,481.089 / 1323.359 /  3
10,2-4,0.952 / 0.952 /  7,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,0.952 / 0.952 /  9,728.636 / 1866.277 /  4
11,2-5,1.279 / 1.525 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.282 / 1.525 /  8,-1.000 / -1.000 /  0
12,2-6,0.765 / 0.765 /  6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.227 / 1.377 /  7,-1.000 / -1.000 /  0
13,2-7,0.889 / 0.889 /  3,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,0.889 / 0.889 /  8,-1.000 / -1.000 /  0
14,2-8,0.941 / 0.941 / 10,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,0.985 / 1.344 /  9,-1.000 / -1.000 /  0
15,2-9,1.398 / 1.398 /  4,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.313 / 1.398 /  4,-1.000 / -1.000 /  0
16,2-10,1.412 / 1.493 /  9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.368 / 1.493 /  7,-1.000 / -1.000 /  0
17,2-11,1.682 / 1.682 /  6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.691 / 1.743 /  7,1.682 / 1.682 /  1
