,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.738 / 2.685 / 99 / 99,1.759 / 2.685 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.795 / 2.466 / 99 / 99,1.779 / 2.685 / 99 / 99
1,1-1,1.421 / 1.969 / 99 / 99,2.141 / 2.529 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.299 / 1.969 / 99 / 99,1.300 / 1.972 / 99 / 99
2,1-2,1.000 / 1.000 / 99 / 99,1.944 / 2.393 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99
3,1-3,1.221 / 1.364 / 99 / 99,1.911 / 2.378 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.291 / 1.690 / 99 / 99,1.193 / 1.690 / 99 / 99
4,1-4,1.600 / 2.043 / 99 / 99,2.001 / 2.406 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.667 / 2.043 / 99 / 99,1.641 / 2.043 / 99 / 99
5,1-5,1.674 / 2.065 / 99 / 99,2.795 / 2.938 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.586 / 2.065 / 99 / 99,1.586 / 2.065 / 99 / 99
6,1-6,2.118 / 2.463 / 99 / 99,2.061 / 2.229 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.990 / 2.463 / 99 / 99,2.007 / 2.229 / 99 / 99
7,1-7,1.062 / 1.210 / 99 / 99,1.461 / 1.589 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.045 / 1.210 / 99 / 99,1.053 / 1.210 / 99 / 99
8,2-0,1.116 / 1.612 / 32 / 32,1.193 / 1.612 / 42 / 42,-1.000 / -1.000 / 0 / 41,1.013 / 1.253 / 27 / 27,1.144 / 1.612 / 40 / 40
9,2-1,0.894 / 0.894 / 48 / 48,0.894 / 0.894 / 37 / 37,-1.000 / -1.000 / 0 / 49,0.894 / 0.894 / 72 / 72,0.894 / 0.894 / 38 / 38
10,2-2,1.244 / 1.598 / 35 / 35,1.486 / 1.951 / 63 / 63,-1.000 / -1.000 / 0 / 62,1.221 / 1.437 / 31 / 31,1.296 / 1.617 / 47 / 47
11,2-3,1.045 / 1.682 / 53 / 53,1.187 / 1.741 / 50 / 50,-1.000 / -1.000 / 0 / 65,1.019 / 1.682 / 56 / 56,1.137 / 1.682 / 63 / 63
12,2-4,1.107 / 1.580 / 49 / 49,1.378 / 2.245 / 45 / 45,-1.000 / -1.000 / 0 / 37,1.111 / 1.580 / 52 / 52,1.073 / 1.580 / 46 / 46
13,2-5,0.936 / 1.308 / 43 / 43,1.018 / 1.574 / 60 / 60,-1.000 / -1.000 / 0 / 31,1.094 / 1.574 / 47 / 47,1.052 / 1.668 / 55 / 55
14,2-6,0.974 / 1.105 / 42 / 42,1.249 / 1.249 / 51 / 51,-1.000 / -1.000 / 0 / 42,0.997 / 1.105 / 54 / 54,0.977 / 1.105 / 56 / 56
15,2-7,0.963 / 1.426 / 67 / 67,1.223 / 1.918 / 40 / 40,-1.000 / -1.000 / 0 / 15,0.944 / 1.426 / 46 / 46,1.034 / 1.426 / 44 / 44
16,2-8,1.153 / 1.419 / 57 / 57,1.379 / 1.581 / 45 / 45,-1.000 / -1.000 / 0 / 53,1.159 / 1.419 / 30 / 30,1.037 / 1.266 / 41 / 41
17,2-9,0.919 / 0.919 / 51 / 51,0.919 / 0.919 / 46 / 46,-1.000 / -1.000 / 0 / 15,0.919 / 0.919 / 57 / 57,0.919 / 0.919 / 39 / 39
18,2-10,1.057 / 1.271 / 49 / 49,1.116 / 1.271 / 49 / 49,-1.000 / -1.000 / 0 / 40,1.112 / 1.271 / 41 / 41,1.075 / 1.271 / 63 / 63
19,2-11,1.335 / 1.943 / 66 / 66,1.365 / 2.125 / 36 / 36,-1.000 / -1.000 / 0 / 58,1.252 / 2.117 / 65 / 65,1.116 / 1.599 / 35 / 35
20,2-12,0.952 / 0.952 / 21 / 21,0.952 / 0.952 / 49 / 49,-1.000 / -1.000 / 0 / 48,0.952 / 0.952 / 37 / 37,0.952 / 0.952 / 37 / 37
21,2-13,1.103 / 1.286 / 62 / 62,1.087 / 1.445 / 51 / 51,-1.000 / -1.000 / 0 / 55,0.999 / 1.286 / 57 / 57,1.027 / 1.286 / 60 / 60
22,2-14,1.096 / 1.411 / 32 / 32,1.296 / 2.003 / 52 / 52,-1.000 / -1.000 / 0 / 72,1.139 / 1.411 / 76 / 76,1.001 / 1.411 / 62 / 62
23,2-15,1.097 / 1.310 / 47 / 47,1.094 / 1.349 / 58 / 58,-1.000 / -1.000 / 0 / 42,1.033 / 1.310 / 44 / 44,1.058 / 1.310 / 44 / 44
24,2-16,1.070 / 1.937 / 60 / 60,1.275 / 1.721 / 47 / 47,-1.000 / -1.000 / 0 / 45,1.251 / 1.937 / 59 / 59,1.238 / 2.229 / 36 / 36
25,2-17,1.168 / 1.498 / 33 / 33,0.975 / 1.321 / 49 / 49,-1.000 / -1.000 / 0 / 32,1.179 / 1.498 / 53 / 53,1.181 / 1.498 / 46 / 46
