,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.326 / 1.521 / 99 / 99,1.240 / 1.343 / 99 / 99,2.115 / 2.389 / 97 / 99,1.511 / 2.258 / 99 / 99,-1.000 / -1.000 / 0 / 99
1,1-1,1.548 / 2.160 / 99 / 99,1.684 / 2.160 / 99 / 99,2.499 / 3.488 / 99 / 99,1.679 / 2.440 / 99 / 99,-1.000 / -1.000 / 0 / 99
2,1-2,1.157 / 1.540 / 99 / 99,1.181 / 1.540 / 99 / 99,2.527 / 2.878 / 99 / 99,1.190 / 1.360 / 99 / 99,-1.000 / -1.000 / 0 / 99
3,1-3,2.084 / 2.363 / 99 / 99,1.970 / 2.388 / 99 / 99,2.302 / 4.056 / 99 / 99,2.082 / 2.388 / 99 / 99,-1.000 / -1.000 / 0 / 99
4,1-4,1.186 / 1.402 / 99 / 99,1.398 / 1.701 / 99 / 99,1.327 / 1.678 / 99 / 99,1.145 / 1.506 / 99 / 99,-1.000 / -1.000 / 0 / 99
5,1-5,1.580 / 1.876 / 99 / 99,1.650 / 1.876 / 99 / 99,1.533 / 2.540 / 99 / 99,1.531 / 1.876 / 99 / 99,-1.000 / -1.000 / 0 / 99
6,1-6,1.563 / 1.924 / 99 / 99,1.827 / 2.206 / 99 / 99,2.223 / 2.935 / 99 / 99,1.621 / 2.022 / 99 / 99,-1.000 / -1.000 / 0 / 99
7,1-7,1.196 / 1.323 / 99 / 99,1.387 / 2.815 / 99 / 99,1.285 / 1.475 / 99 / 99,1.091 / 1.323 / 99 / 99,-1.000 / -1.000 / 0 / 99
8,2-0,2.038 / 2.327 / 57 / 57,2.073 / 2.667 / 31 / 31,2.054 / 2.604 / 38 / 38,1.967 / 2.546 / 55 / 55,-1.000 / -1.000 / 0 / 67
9,2-1,1.328 / 1.878 / 59 / 59,1.536 / 2.390 / 60 / 60,1.431 / 2.083 / 65 / 65,1.323 / 1.952 / 58 / 58,-1.000 / -1.000 / 0 / 65
10,2-2,2.403 / 2.862 / 55 / 55,2.327 / 3.236 / 37 / 37,1.686 / 2.593 / 41 / 41,2.421 / 3.598 / 49 / 49,-1.000 / -1.000 / 0 / 33
11,2-3,1.375 / 2.523 / 46 / 46,1.075 / 1.573 / 55 / 55,1.112 / 1.981 / 45 / 45,1.168 / 1.675 / 51 / 51,-1.000 / -1.000 / 0 / 49
12,2-4,1.205 / 1.666 / 68 / 68,1.148 / 1.677 / 45 / 45,1.293 / 1.898 / 48 / 48,1.299 / 1.850 / 47 / 47,-1.000 / -1.000 / 0 / 58
13,2-5,1.176 / 1.176 / 42 / 42,1.187 / 1.438 / 52 / 52,1.630 / 2.026 / 36 / 36,1.235 / 1.543 / 33 / 33,-1.000 / -1.000 / 0 / 22
14,2-6,1.713 / 2.188 / 35 / 35,1.595 / 2.209 / 56 / 56,1.436 / 1.740 / 59 / 59,1.508 / 1.956 / 46 / 46,-1.000 / -1.000 / 0 / 27
15,2-7,0.927 / 1.356 / 58 / 58,1.451 / 1.714 / 53 / 53,0.924 / 1.356 / 34 / 34,0.899 / 0.899 / 28 / 28,-1.000 / -1.000 / 0 / 64
16,2-8,1.701 / 2.066 / 49 / 49,1.873 / 2.246 / 44 / 44,1.588 / 1.948 / 58 / 58,1.776 / 2.246 / 49 / 49,-1.000 / -1.000 / 0 / 27
17,2-9,0.979 / 1.331 / 42 / 42,0.875 / 1.047 / 42 / 42,1.074 / 2.195 / 22 / 22,0.891 / 1.331 / 62 / 62,-1.000 / -1.000 / 0 / 34
18,2-10,1.501 / 1.803 / 39 / 39,1.421 / 1.620 / 46 / 46,1.541 / 1.849 / 48 / 48,1.368 / 1.368 / 13 / 13,-1.000 / -1.000 / 0 / 37
19,2-11,1.536 / 2.322 / 51 / 51,1.390 / 2.653 / 57 / 57,1.264 / 1.765 / 38 / 38,1.438 / 2.333 / 57 / 57,-1.000 / -1.000 / 0 / 74
20,2-12,1.009 / 1.470 / 56 / 56,1.109 / 1.470 / 49 / 49,1.403 / 2.131 / 64 / 64,1.015 / 1.510 / 46 / 46,-1.000 / -1.000 / 0 / 48
21,2-13,0.997 / 1.589 / 33 / 33,1.272 / 1.945 / 51 / 51,1.488 / 1.974 / 35 / 35,1.284 / 1.945 / 44 / 44,-1.000 / -1.000 / 0 / 27
22,2-14,1.496 / 1.633 / 70 / 70,1.480 / 1.633 / 50 / 50,1.477 / 1.633 / 52 / 52,1.495 / 1.633 / 57 / 57,-1.000 / -1.000 / 0 / 77
23,2-15,0.760 / 1.049 / 35 / 35,0.893 / 1.537 / 49 / 49,0.818 / 1.049 / 36 / 36,1.070 / 1.965 / 67 / 67,-1.000 / -1.000 / 0 / 39
24,2-16,1.580 / 1.853 / 67 / 67,1.489 / 1.853 / 46 / 46,1.680 / 1.995 / 50 / 50,1.421 / 1.853 / 38 / 38,-1.000 / -1.000 / 0 / 38
25,2-17,1.015 / 1.358 / 33 / 33,0.999 / 1.358 / 42 / 42,1.023 / 1.212 / 22 / 22,0.910 / 1.406 / 29 / 29,-1.000 / -1.000 / 0 / 65
26,2-18,0.938 / 1.179 / 35 / 35,0.946 / 1.179 / 61 / 61,1.356 / 1.732 / 61 / 61,0.927 / 1.179 / 45 / 45,-1.000 / -1.000 / 0 / 39
27,2-19,2.251 / 2.468 / 43 / 43,2.299 / 2.712 / 63 / 63,2.387 / 2.984 / 38 / 38,2.243 / 2.705 / 54 / 54,-1.000 / -1.000 / 0 / 30
28,2-20,1.238 / 1.824 / 43 / 43,1.422 / 2.314 / 54 / 54,1.292 / 1.491 / 52 / 52,1.540 / 2.084 / 47 / 47,-1.000 / -1.000 / 0 / 22
29,2-21,1.190 / 1.969 / 44 / 44,1.339 / 1.969 / 57 / 57,1.283 / 1.835 / 42 / 42,1.154 / 1.640 / 59 / 59,-1.000 / -1.000 / 0 / 69
30,2-22,0.935 / 1.166 / 44 / 44,0.925 / 1.166 / 64 / 64,0.937 / 1.166 / 54 / 54,0.967 / 1.166 / 54 / 54,-1.000 / -1.000 / 0 / 63
31,2-23,0.966 / 1.374 / 62 / 62,1.362 / 1.614 / 72 / 72,1.665 / 1.861 / 47 / 47,0.968 / 1.374 / 28 / 28,-1.000 / -1.000 / 0 / 14
32,2-24,1.211 / 1.689 / 61 / 61,1.093 / 1.375 / 52 / 52,1.806 / 2.254 / 66 / 66,1.116 / 1.297 / 25 / 25,-1.000 / -1.000 / 0 / 48
33,2-25,1.117 / 1.704 / 23 / 23,1.168 / 1.723 / 43 / 43,1.032 / 1.669 / 29 / 29,1.342 / 1.985 / 44 / 44,-1.000 / -1.000 / 0 / 64
34,2-26,0.986 / 1.308 / 35 / 35,0.975 / 1.308 / 35 / 35,1.198 / 1.308 / 53 / 53,1.030 / 1.308 / 56 / 56,-1.000 / -1.000 / 0 / 60
35,2-27,1.032 / 1.207 / 54 / 54,0.893 / 0.893 / 66 / 66,0.989 / 1.207 / 36 / 36,0.975 / 1.207 / 42 / 42,-1.000 / -1.000 / 0 / 38
36,2-28,1.000 / 1.308 / 43 / 43,1.005 / 1.308 / 50 / 50,0.945 / 1.308 / 61 / 61,1.073 / 1.363 / 71 / 71,-1.000 / -1.000 / 0 / 72
37,2-29,2.051 / 2.652 / 44 / 44,2.174 / 2.642 / 64 / 64,2.152 / 2.652 / 58 / 58,2.342 / 2.940 / 60 / 60,-1.000 / -1.000 / 0 / 40
38,2-30,0.952 / 0.952 / 55 / 55,1.630 / 1.883 / 37 / 37,0.952 / 0.952 / 35 / 35,0.952 / 0.952 / 59 / 59,-1.000 / -1.000 / 0 / 53
