,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.324 / 2.015 / 99 / 99,1.654 / 2.290 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.347 / 2.015 / 99 / 99,1.403 / 2.049 / 99 / 99
1,1-1,1.296 / 1.714 / 99 / 99,1.594 / 1.930 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.421 / 1.828 / 99 / 99,1.442 / 1.714 / 99 / 99
2,1-2,1.685 / 2.148 / 99 / 99,1.896 / 2.148 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.652 / 2.148 / 99 / 99,1.776 / 2.148 / 99 / 99
3,1-3,1.440 / 1.943 / 99 / 99,1.679 / 1.943 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.412 / 1.943 / 99 / 99,1.401 / 1.943 / 99 / 99
4,1-4,1.221 / 1.446 / 99 / 99,1.294 / 1.539 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.517 / 1.621 / 99 / 99,1.319 / 1.478 / 99 / 99
5,1-5,1.440 / 1.873 / 99 / 99,1.767 / 2.081 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.230 / 2.539 / 99 / 99,1.486 / 1.994 / 99 / 99
6,1-6,1.599 / 1.903 / 99 / 99,2.382 / 2.654 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.827 / 2.146 / 99 / 99,1.921 / 2.236 / 99 / 99
7,1-7,1.297 / 1.623 / 99 / 99,1.100 / 1.233 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.311 / 1.623 / 99 / 99,1.310 / 1.623 / 99 / 99
8,2-0,1.265 / 1.696 / 27 / 27,1.508 / 2.329 / 46 / 46,-1.000 / -1.000 / 0 / 51,1.572 / 2.313 / 53 / 53,1.585 / 2.138 / 77 / 77
9,2-1,0.899 / 0.899 / 78 / 78,0.899 / 0.899 / 29 / 29,-1.000 / -1.000 / 0 / 79,0.899 / 0.899 / 81 / 81,0.899 / 0.899 / 27 / 27
10,2-2,1.104 / 1.300 / 47 / 47,1.049 / 1.300 / 51 / 51,-1.000 / -1.000 / 0 / 81,0.948 / 1.009 / 31 / 31,1.165 / 1.300 / 70 / 70
11,2-3,1.108 / 1.286 / 44 / 44,1.112 / 1.289 / 73 / 73,-1.000 / -1.000 / 0 / 55,1.109 / 1.286 / 35 / 35,1.160 / 1.467 / 53 / 53
12,2-4,0.938 / 1.391 / 52 / 52,0.917 / 1.391 / 46 / 46,-1.000 / -1.000 / 0 / 64,1.034 / 1.391 / 53 / 53,0.946 / 1.391 / 49 / 49
13,2-5,1.013 / 1.301 / 30 / 30,1.222 / 1.872 / 54 / 54,-1.000 / -1.000 / 0 / 65,1.130 / 1.688 / 58 / 58,0.909 / 0.909 / 22 / 22
14,2-6,0.896 / 0.896 / 37 / 37,0.916 / 0.916 / 54 / 54,-1.000 / -1.000 / 0 / 52,1.056 / 1.137 / 63 / 63,0.896 / 0.896 / 48 / 48
15,2-7,1.056 / 1.611 / 42 / 42,0.961 / 1.272 / 38 / 38,-1.000 / -1.000 / 0 / 52,1.068 / 1.346 / 47 / 47,1.045 / 1.320 / 35 / 35
16,2-8,1.253 / 2.219 / 66 / 66,1.327 / 2.191 / 65 / 65,-1.000 / -1.000 / 0 / 27,0.929 / 1.304 / 38 / 38,1.231 / 2.193 / 69 / 69
17,2-9,1.043 / 1.297 / 68 / 68,1.050 / 1.297 / 49 / 49,-1.000 / -1.000 / 0 / 51,1.002 / 1.297 / 54 / 54,1.031 / 1.297 / 81 / 81
18,2-10,1.110 / 1.666 / 39 / 39,1.721 / 2.118 / 41 / 41,-1.000 / -1.000 / 0 / 47,1.452 / 1.889 / 38 / 38,1.276 / 1.578 / 47 / 47
19,2-11,1.372 / 1.667 / 52 / 52,1.357 / 1.667 / 60 / 60,-1.000 / -1.000 / 0 / 66,1.554 / 1.667 / 71 / 71,1.457 / 1.667 / 41 / 41
20,2-12,0.912 / 0.917 / 52 / 52,0.909 / 0.909 / 46 / 46,-1.000 / -1.000 / 0 / 45,0.909 / 0.909 / 26 / 26,0.913 / 0.917 / 48 / 48
21,2-13,0.895 / 0.895 / 51 / 51,0.895 / 0.895 / 35 / 35,-1.000 / -1.000 / 0 / 53,0.895 / 0.895 / 64 / 64,0.895 / 0.895 / 58 / 58
22,2-14,0.965 / 1.287 / 35 / 35,1.100 / 1.287 / 52 / 52,-1.000 / -1.000 / 0 / 37,0.899 / 0.899 / 28 / 28,0.919 / 1.287 / 38 / 38
23,2-15,0.925 / 1.236 / 37 / 37,1.242 / 1.588 / 59 / 59,-1.000 / -1.000 / 0 / 57,0.954 / 1.236 / 54 / 54,1.078 / 1.236 / 43 / 43
24,2-16,1.126 / 1.267 / 30 / 30,1.082 / 1.267 / 49 / 49,-1.000 / -1.000 / 0 / 69,1.071 / 1.625 / 28 / 28,1.088 / 1.267 / 45 / 45
25,2-17,1.132 / 1.969 / 47 / 47,1.095 / 1.682 / 65 / 65,-1.000 / -1.000 / 0 / 35,1.062 / 1.678 / 57 / 57,1.201 / 2.073 / 36 / 36
26,2-18,1.010 / 1.548 / 35 / 35,1.095 / 1.244 / 71 / 71,-1.000 / -1.000 / 0 / 47,1.105 / 1.548 / 50 / 50,1.042 / 1.548 / 33 / 33
27,2-19,1.218 / 1.575 / 58 / 58,1.061 / 1.477 / 50 / 50,-1.000 / -1.000 / 0 / 53,1.133 / 1.762 / 67 / 67,1.081 / 1.468 / 38 / 38
28,2-20,1.372 / 2.153 / 38 / 38,1.228 / 1.753 / 43 / 43,-1.000 / -1.000 / 0 / 30,1.576 / 1.964 / 33 / 33,1.367 / 2.139 / 42 / 42
29,2-21,1.104 / 1.708 / 36 / 36,1.116 / 1.708 / 34 / 34,-1.000 / -1.000 / 0 / 58,1.354 / 2.067 / 47 / 47,1.227 / 1.708 / 53 / 53
30,2-22,1.121 / 1.586 / 25 / 25,1.231 / 2.125 / 68 / 68,-1.000 / -1.000 / 0 / 44,1.187 / 1.493 / 57 / 57,1.226 / 1.707 / 49 / 49
31,2-23,0.888 / 0.888 / 61 / 61,0.888 / 0.888 / 57 / 57,-1.000 / -1.000 / 0 / 36,0.888 / 0.888 / 50 / 50,0.888 / 0.888 / 64 / 64
32,2-24,0.952 / 0.952 / 53 / 53,0.952 / 0.952 / 44 / 44,-1.000 / -1.000 / 0 / 28,0.952 / 0.952 / 57 / 57,1.227 / 1.227 / 54 / 54
33,2-25,1.205 / 2.093 / 51 / 51,1.266 / 2.052 / 31 / 31,-1.000 / -1.000 / 0 / 38,1.466 / 2.095 / 68 / 68,1.321 / 2.031 / 52 / 52
34,2-26,1.016 / 1.465 / 35 / 35,1.065 / 1.248 / 41 / 41,-1.000 / -1.000 / 0 / 62,0.986 / 1.465 / 47 / 47,1.020 / 1.465 / 41 / 41
35,2-27,1.298 / 1.862 / 41 / 41,1.395 / 2.055 / 41 / 41,-1.000 / -1.000 / 0 / 55,1.466 / 2.339 / 25 / 25,1.646 / 1.996 / 33 / 33
36,2-28,1.429 / 2.578 / 44 / 44,1.384 / 2.076 / 75 / 75,-1.000 / -1.000 / 0 / 43,1.654 / 2.293 / 44 / 44,1.323 / 2.255 / 77 / 77
37,2-29,0.948 / 1.444 / 43 / 43,0.947 / 1.168 / 29 / 29,-1.000 / -1.000 / 0 / 41,0.951 / 1.183 / 36 / 36,0.994 / 1.183 / 34 / 34
38,2-30,1.198 / 1.782 / 37 / 37,1.128 / 1.486 / 48 / 48,-1.000 / -1.000 / 0 / 52,1.077 / 1.493 / 52 / 52,1.203 / 1.574 / 57 / 57
39,2-31,1.309 / 2.098 / 51 / 51,1.164 / 1.703 / 49 / 49,-1.000 / -1.000 / 0 / 43,1.384 / 1.893 / 59 / 59,1.235 / 1.703 / 49 / 49
