,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.007 / 1.032 /  9,0.964 / 1.032 /  9,0.954 / 1.032 /  9,1.035 / 1.311 /  9,1.000 / 1.000 /  9
1,2-0,0.893 / 0.893 /  5,0.893 / 0.893 /  8,0.893 / 0.893 /  8,0.893 / 0.893 /  7,0.893 / 0.893 /  6
2,2-1,0.895 / 0.895 /  7,0.895 / 0.895 /  6,0.895 / 0.895 /  8,0.895 / 0.895 /  6,0.895 / 0.895 /  6
3,2-2,0.919 / 0.919 /  8,1.170 / 1.373 /  7,1.136 / 1.136 /  8,0.919 / 0.919 /  9,0.919 / 0.919 /  5
