,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,2-0,0.793 / 0.793 /  9,0.793 / 0.793 / 10,0.793 / 0.793 /  5,0.793 / 0.793 /  6,0.793 / 0.793 /  4
2,2-1,0.939 / 1.117 / 10,0.969 / 1.117 /  8,0.939 / 1.117 / 10,0.941 / 1.117 /  9,0.919 / 0.919 /  6
3,2-2,0.930 / 0.930 /  8,0.956 / 1.110 /  7,0.930 / 0.930 /  4,0.930 / 0.930 / 10,0.930 / 0.930 /  6
