,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,1.240 / 1.316 / 99 / 99,1.261 / 1.316 / 99 / 99,1.004 / 1.395 / 99 / 99
1,1-1,1.311 / 1.469 / 99 / 99,1.082 / 1.286 / 99 / 99,1.025 / 1.286 / 99 / 99,1.144 / 1.308 / 99 / 99
2,2-0,0.651 / 0.651 / 62 / 62,0.767 / 0.767 / 64 / 64,0.767 / 0.767 / 28 / 28,0.655 / 0.908 / 69 / 69
3,2-1,1.499 / 1.839 / 78 / 78,0.930 / 0.930 / 44 / 44,0.930 / 0.930 / 59 / 59,1.766 / 1.839 / 44 / 44
4,2-2,1.232 / 1.361 / 37 / 37,1.251 / 1.305 / 58 / 58,1.259 / 1.305 / 54 / 54,1.063 / 1.063 / 64 / 64
5,2-3,0.732 / 1.157 / 62 / 62,0.916 / 1.157 / 28 / 28,0.888 / 0.888 / 10 / 10,0.711 / 0.711 / 46 / 46
