,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,1.345 / 1.918 / 99 / 99,2.336 / 2.341 / 99 / 99,1.000 / 1.000 / 99 / 99
1,1-1,1.384 / 1.827 / 99 / 99,1.546 / 2.130 / 99 / 99,1.584 / 1.698 / 99 / 99,1.308 / 1.432 / 99 / 99
2,1-2,1.457 / 1.864 / 99 / 99,2.304 / 2.672 / 99 / 99,3.092 / 3.513 / 99 / 99,1.249 / 1.864 / 99 / 99
3,1-3,1.418 / 1.600 / 99 / 99,1.628 / 1.757 / 99 / 99,1.500 / 1.789 / 99 / 99,1.455 / 1.598 / 99 / 99
4,1-4,1.013 / 1.024 / 99 / 99,1.173 / 1.273 / 99 / 99,0.784 / 1.336 / 99 / 99,1.287 / 1.354 / 99 / 99
5,1-5,1.410 / 1.834 / 99 / 99,1.494 / 1.796 / 99 / 99,2.594 / 3.017 / 99 / 99,1.618 / 1.834 / 99 / 99
6,1-6,1.328 / 1.805 / 99 / 99,1.590 / 2.312 / 99 / 99,2.347 / 2.668 / 99 / 99,1.249 / 1.729 / 99 / 99
7,1-7,2.188 / 2.679 / 99 / 99,2.005 / 2.866 / 99 / 99,2.104 / 2.283 / 99 / 99,2.250 / 2.679 / 99 / 99
8,1-8,1.449 / 1.612 / 99 / 99,1.198 / 1.379 / 99 / 99,1.191 / 1.379 / 99 / 99,1.858 / 1.941 / 99 / 99
9,1-9,2.267 / 2.486 / 99 / 99,2.587 / 3.003 / 99 / 99,1.798 / 2.459 / 99 / 99,2.274 / 2.486 / 99 / 99
10,2-0,1.389 / 1.793 / 51 / 51,1.167 / 1.644 / 19 / 27,0.986 / 0.986 / 77 / 77,1.010 / 1.117 / 78 / 78
11,2-1,0.701 / 0.701 / 45 / 45,0.701 / 0.701 / 32 / 32,1.297 / 1.998 / 59 / 59,0.701 / 0.701 / 42 / 42
12,2-2,1.151 / 2.317 / 47 / 47,1.031 / 1.031 / 39 / 39,0.894 / 0.894 / 37 / 37,1.121 / 1.571 / 72 / 72
13,2-3,1.184 / 1.707 / 53 / 53,1.360 / 1.956 / 32 / 32,0.896 / 1.071 / 26 / 26,0.983 / 1.257 / 40 / 40
14,2-4,1.469 / 1.794 / 51 / 51,1.851 / 1.996 / 50 / 50,1.194 / 1.221 / 21 / 21,1.577 / 1.699 / 50 / 50
15,2-5,1.333 / 1.444 / 77 / 77,1.427 / 1.641 / 54 / 54,1.305 / 1.360 / 32 / 32,1.365 / 1.473 / 48 / 48
16,2-6,0.947 / 1.262 / 32 / 32,1.003 / 1.390 / 68 / 68,1.566 / 2.054 / 39 / 39,0.913 / 1.369 / 52 / 52
17,2-7,1.692 / 1.941 / 60 / 60,1.485 / 2.063 / 73 / 73,1.316 / 1.904 / 49 / 49,1.327 / 1.755 / 55 / 55
18,2-8,0.824 / 1.047 / 49 / 49,1.015 / 1.810 / 36 / 36,1.023 / 1.639 / 55 / 55,0.715 / 0.715 / 14 / 14
19,2-9,1.426 / 1.843 / 66 / 66,1.525 / 1.989 / 49 / 49,1.682 / 2.337 / 38 / 38,1.417 / 1.843 / 51 / 51
