,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,2.295 / 2.404 / 99 / 99,1.000 / 1.000 / 99 / 99
1,1-1,1.154 / 1.294 / 99 / 99,1.175 / 1.294 / 99 / 99,2.007 / 2.205 / 99 / 99,1.452 / 1.709 / 99 / 99
2,1-2,1.000 / 1.000 / 99 / 99,1.295 / 1.295 / 99 / 99,1.637 / 1.639 / 99 / 99,1.000 / 1.000 / 99 / 99
3,2-0,0.941 / 0.941 / 60 / 60,0.941 / 0.941 / 53 / 53,2.195 / 2.361 / 16 / 16,0.941 / 0.941 / 55 / 55
4,2-1,2.698 / 2.964 / 49 / 49,2.689 / 2.964 / 54 / 54,2.702 / 2.964 / 29 / 29,2.822 / 3.138 / 42 / 42
5,2-2,0.953 / 0.953 / 51 / 51,0.953 / 0.953 / 59 / 59,1.804 / 1.804 / 36 / 36,1.346 / 1.442 / 28 / 28
6,2-3,1.619 / 1.836 / 36 / 36,1.610 / 1.836 / 40 / 40,1.577 / 1.853 / 48 / 48,2.000 / 2.140 / 45 / 45
7,2-4,1.286 / 1.475 / 51 / 51,1.356 / 1.475 / 54 / 54,1.365 / 1.475 / 72 / 72,1.264 / 1.475 / 63 / 63
8,2-5,2.136 / 2.438 / 39 / 39,2.255 / 2.405 / 42 / 42,2.161 / 2.235 / 42 / 42,2.121 / 2.446 / 58 / 58
9,2-6,1.962 / 1.962 / 29 / 29,1.962 / 1.962 / 48 / 48,1.962 / 1.962 / 41 / 41,2.489 / 2.572 / 47 / 47
10,2-7,0.997 / 1.195 / 58 / 58,1.042 / 1.195 / 55 / 55,0.991 / 1.195 / 34 / 34,0.968 / 1.005 / 26 / 26
11,2-8,2.832 / 3.122 / 24 / 24,1.068 / 1.426 / 38 / 38,1.267 / 1.426 / 69 / 69,2.917 / 3.097 / 59 / 59
