,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.051 / 1.078 / 99 / 99,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.334 / 1.391 / 99 / 99
1,1-1,1.143 / 1.272 / 99 / 99,1.500 / 1.660 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.113 / 1.272 / 99 / 99
2,1-2,1.418 / 1.446 / 99 / 99,1.742 / 1.983 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.032 / 1.092 / 99 / 99
3,2-0,1.364 / 1.460 / 61 / 61,1.441 / 1.468 / 45 / 45,-1.000 / -1.000 / 0 / 17,1.155 / 1.178 / 36 / 36
4,2-1,0.971 / 0.971 / 52 / 52,0.971 / 0.971 / 58 / 58,-1.000 / -1.000 / 0 / 66,0.971 / 0.971 / 40 / 40
5,2-2,1.139 / 1.694 / 53 / 53,1.150 / 1.694 / 61 / 61,-1.000 / -1.000 / 0 / 62,1.200 / 1.694 / 73 / 73
6,2-3,0.811 / 0.811 / 25 / 25,1.523 / 1.912 / 76 / 76,-1.000 / -1.000 / 0 / 45,1.460 / 1.912 / 66 / 66
7,2-4,0.889 / 0.889 / 64 / 64,1.553 / 1.553 / 54 / 54,-1.000 / -1.000 / 0 / 40,0.889 / 0.889 / 59 / 59
8,2-5,1.101 / 1.233 / 28 / 28,1.137 / 1.233 / 32 / 32,-1.000 / -1.000 / 0 / 20,1.061 / 1.205 / 22 / 22
9,2-6,1.701 / 1.731 / 77 / 77,1.458 / 1.627 / 61 / 61,-1.000 / -1.000 / 0 / 41,1.688 / 1.731 / 24 / 24
10,2-7,0.919 / 0.919 / 65 / 65,0.919 / 0.919 / 26 / 26,-1.000 / -1.000 / 0 / 43,0.919 / 0.919 / 47 / 47
11,2-8,1.357 / 1.551 / 27 / 27,1.217 / 1.613 / 36 / 36,-1.000 / -1.000 / 0 / 65,1.272 / 1.538 / 30 / 30
