,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.081 / 1.364 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,1.040 / 1.364 /  9
1,1-1,1.000 / 1.000 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,1-2,1.000 / 1.000 /  9,1.718 / 1.718 /  9,-1.000 / -1.000 /  0,1.152 / 1.152 /  9,1.000 / 1.000 /  9
3,1-3,0.922 / 1.000 /  8,0.880 / 1.191 /  9,-1.000 / -1.000 /  0,0.931 / 1.000 /  9,2.130 / 2.608 /  9
4,1-4,1.088 / 1.088 /  9,0.797 / 1.134 /  9,-1.000 / -1.000 /  0,1.257 / 1.392 /  9,1.949 / 2.464 /  9
5,1-5,1.338 / 1.338 /  9,1.457 / 1.457 /  9,-1.000 / -1.000 /  0,1.179 / 1.338 /  9,1.168 / 1.373 /  9
6,1-6,1.000 / 1.000 /  9,1.066 / 1.066 /  9,-1.000 / -1.000 /  0,1.212 / 1.212 /  9,1.064 / 1.064 /  9
7,1-7,1.000 / 1.000 /  9,1.591 / 1.648 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,1.000 / 1.000 /  9
8,1-8,1.271 / 1.305 /  9,1.349 / 1.382 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,1.205 / 1.205 /  9
9,1-9,1.000 / 1.000 /  9,1.306 / 1.337 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,1.000 / 1.000 /  9
10,2-0,1.894 / 2.408 /  7,1.808 / 1.808 /  3,-1.000 / -1.000 /  0,1.808 / 1.808 /  8,1.573 / 1.631 /  6
11,2-1,1.110 / 1.394 /  9,1.029 / 1.029 /  5,-1.000 / -1.000 /  0,1.075 / 1.394 /  8,1.029 / 1.029 /  8
12,2-2,1.673 / 1.788 /  7,1.822 / 2.066 /  8,-1.000 / -1.000 /  0,1.687 / 1.788 /  8,1.790 / 1.790 / 10
13,2-3,8.031 / 57.582 /  9,2.002 / 2.136 /  7,-1.000 / -1.000 /  0,1.868 / 1.993 /  8,1.962 / 2.434 /  5
14,2-4,2.798 / 2.798 /  7,2.798 / 2.798 /  8,-1.000 / -1.000 /  0,2.811 / 2.890 /  7,2.447 / 2.731 /  4
15,2-5,1.092 / 1.092 /  7,0.996 / 0.996 /  9,-1.000 / -1.000 /  0,1.092 / 1.092 /  1,1.227 / 1.227 /  5
16,2-6,0.968 / 1.421 /  7,1.407 / 1.407 /  7,-1.000 / -1.000 /  0,1.380 / 1.478 /  6,0.958 / 1.478 /  9
17,2-7,1.742 / 1.983 /  5,1.715 / 1.715 /  7,-1.000 / -1.000 /  0,1.511 / 1.780 /  9,2.536 / 2.536 /  9
18,2-8,0.895 / 0.895 / 11,0.895 / 0.895 /  9,-1.000 / -1.000 /  0,0.895 / 0.895 / 10,0.895 / 0.895 /  9
19,2-9,2.132 / 2.132 /  8,2.132 / 2.132 /  4,-1.000 / -1.000 /  0,2.132 / 2.132 /  8,1.713 / 2.034 / 11
