,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.144 / 1.394 /  9,1.183 / 2.010 /  9,2.922 / 3.217 /  9,1.507 / 1.776 /  9,1.627 / 1.896 /  9
1,1-1,1.037 / 1.337 /  9,2.206 / 2.238 /  9,3.337 / 3.541 /  9,1.337 / 1.337 /  9,1.337 / 1.337 /  9
2,1-2,1.044 / 1.394 /  9,1.366 / 1.366 /  9,1.366 / 1.366 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
3,1-3,1.478 / 1.544 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
4,2-0,2.591 / 2.595 /  8,2.595 / 2.595 /  5,2.591 / 2.595 /  8,2.562 / 2.562 /  8,2.595 / 2.595 /  6
5,2-1,1.668 / 1.668 /  7,1.668 / 1.668 /  7,1.024 / 1.024 / 10,1.142 / 1.142 /  9,1.271 / 1.271 /  6
6,2-2,1.087 / 1.087 /  8,1.153 / 1.353 /  8,1.087 / 1.087 /  7,1.087 / 1.087 /  6,1.087 / 1.087 /  4
7,2-3,2.226 / 2.226 /  7,2.226 / 2.226 /  5,2.237 / 2.304 /  7,2.130 / 2.226 /  7,2.226 / 2.226 /  4
8,2-4,1.082 / 1.312 /  9,1.343 / 1.343 /  8,2.002 / 2.002 /  4,1.053 / 1.053 /  8,1.662 / 1.908 / 11
9,2-5,1.791 / 2.048 /  9,1.751 / 2.048 / 10,1.773 / 2.048 /  6,1.834 / 2.048 /  5,1.812 / 2.048 /  7
10,2-6,2.476 / 2.476 /  8,2.476 / 2.476 /  6,2.476 / 2.476 /  6,2.476 / 2.476 /  3,2.476 / 2.476 /  5
11,2-7,1.549 / 1.549 /  8,1.549 / 1.549 /  9,1.549 / 1.549 /  6,1.559 / 1.617 /  7,1.549 / 1.549 /  5
12,2-8,1.252 / 2.812 /  9,1.233 / 2.812 / 10,1.408 / 2.812 / 10,1.057 / 1.057 /  9,1.496 / 2.812 /  8
13,2-9,1.403 / 1.723 /  8,1.358 / 1.358 /  7,1.358 / 1.358 /  7,1.358 / 1.358 /  7,1.358 / 1.358 /  8
14,2-10,1.073 / 1.073 /  6,1.073 / 1.073 /  8,1.073 / 1.073 /  7,1.073 / 1.073 /  8,1.073 / 1.073 /  7
15,2-11,1.522 / 1.722 / 10,1.521 / 1.625 /  6,1.546 / 1.819 /  7,1.532 / 1.819 / 10,1.500 / 1.500 /  4
16,2-12,2.629 / 2.629 /  6,2.629 / 2.629 /  5,2.440 / 2.700 /  7,1.202 / 1.202 /  3,2.631 / 2.645 / 10
17,2-13,1.394 / 1.433 /  6,0.930 / 0.930 /  5,1.046 / 1.335 /  7,1.386 / 1.386 /  8,1.386 / 1.386 /  6
18,2-14,1.925 / 1.925 /  8,1.916 / 1.925 /  7,1.925 / 1.925 /  7,1.925 / 1.925 /  7,1.919 / 1.925 / 10
19,2-15,0.995 / 1.252 /  7,0.952 / 0.952 /  3,1.064 / 1.252 /  8,0.952 / 0.952 /  6,1.012 / 1.252 /  5
