,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.535 / 1.535 /  9,-1.000 / -1.000 /  0,1.067 / 1.602 /  9,-1.000 / -1.000 /  0
1,1-1,2.389 / 2.808 /  9,1.537 / 1.835 /  9,-1.000 / -1.000 /  0,2.219 / 2.808 /  9,-1.000 / -1.000 /  0
2,1-2,1.175 / 1.175 /  9,1.904 / 1.904 /  9,-1.000 / -1.000 /  0,1.156 / 1.175 /  9,-1.000 / -1.000 /  0
3,1-3,1.483 / 1.621 /  9,1.590 / 1.621 /  9,-1.000 / -1.000 /  0,1.589 / 1.621 /  9,-1.000 / -1.000 /  0
4,1-4,1.340 / 1.340 /  9,1.497 / 1.497 /  9,-1.000 / -1.000 /  0,1.377 / 1.669 /  9,-1.000 / -1.000 /  0
5,2-0,1.634 / 1.634 /  8,1.634 / 1.634 /  7,-1.000 / -1.000 /  0,1.634 / 1.634 /  6,-1.000 / -1.000 /  0
6,2-1,1.060 / 1.060 /  7,1.062 / 1.066 /  8,-1.000 / -1.000 /  0,1.061 / 1.066 / 11,-1.000 / -1.000 /  0
7,2-2,3.149 / 3.149 /  6,3.149 / 3.149 /  6,-1.000 / -1.000 /  0,3.149 / 3.149 /  8,-1.000 / -1.000 /  0
8,2-3,0.891 / 0.891 /  8,1.461 / 1.461 /  3,-1.000 / -1.000 /  0,0.891 / 0.891 /  6,-1.000 / -1.000 /  0
9,2-4,3.251 / 3.251 /  8,3.251 / 3.251 /  6,-1.000 / -1.000 /  0,3.251 / 3.251 /  5,-1.000 / -1.000 /  0
10,2-5,2.815 / 2.815 /  7,2.827 / 2.856 /  7,-1.000 / -1.000 /  0,2.815 / 2.815 /  7,-1.000 / -1.000 /  0
11,2-6,1.986 / 1.986 /  7,1.821 / 1.986 /  7,-1.000 / -1.000 /  0,1.760 / 1.986 /  7,-1.000 / -1.000 /  0
12,2-7,1.765 / 1.765 /  7,1.808 / 1.941 /  7,-1.000 / -1.000 /  0,1.790 / 1.941 /  7,-1.000 / -1.000 /  0
13,2-8,1.521 / 1.837 /  6,1.476 / 1.606 /  8,-1.000 / -1.000 /  0,1.489 / 1.708 /  8,-1.000 / -1.000 /  0
14,2-9,2.898 / 2.898 /  7,2.946 / 3.233 /  7,-1.000 / -1.000 /  0,2.898 / 2.898 /  7,-1.000 / -1.000 /  0
15,2-10,1.449 / 1.541 /  7,1.505 / 1.541 /  8,-1.000 / -1.000 /  0,1.541 / 1.541 /  8,-1.000 / -1.000 /  0
16,2-11,1.356 / 1.356 /  7,1.433 / 1.741 /  5,-1.000 / -1.000 /  0,1.474 / 1.795 /  7,-1.000 / -1.000 /  0
17,2-12,2.070 / 2.395 /  8,2.023 / 2.023 /  6,-1.000 / -1.000 /  0,2.023 / 2.023 /  7,-1.000 / -1.000 /  0
18,2-13,3.039 / 3.081 /  7,2.309 / 2.639 /  7,-1.000 / -1.000 /  0,3.017 / 3.299 /  9,-1.000 / -1.000 /  0
19,2-14,1.755 / 4.095 /  8,1.421 / 1.421 /  6,-1.000 / -1.000 /  0,2.185 / 4.095 /  7,-1.000 / -1.000 /  0
