,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,0.885 / 1.000 /  9,1.198 / 1.311 /  9,-1.000 / -1.000 /  0,0.885 / 1.000 /  9,-1.000 / -1.000 /  0
1,1-1,1.196 / 1.295 /  9,1.527 / 1.558 /  9,-1.000 / -1.000 /  0,1.295 / 1.295 /  9,-1.000 / -1.000 /  0
2,1-2,1.155 / 1.349 /  9,1.573 / 1.758 /  9,-1.000 / -1.000 /  0,1.155 / 1.349 /  9,-1.000 / -1.000 /  0
3,1-3,1.328 / 1.369 /  9,1.463 / 1.662 /  9,-1.000 / -1.000 /  0,1.426 / 1.641 /  9,-1.000 / -1.000 /  0
4,1-4,1.000 / 1.000 /  9,1.583 / 1.855 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
5,1-5,1.073 / 1.656 /  9,1.329 / 1.394 /  9,-1.000 / -1.000 /  0,1.086 / 1.394 /  9,-1.000 / -1.000 /  0
6,1-6,1.123 / 1.138 /  9,0.865 / 1.659 /  9,-1.000 / -1.000 /  0,1.396 / 1.456 /  9,-1.000 / -1.000 /  0
7,1-7,1.061 / 1.545 /  9,1.618 / 1.693 /  9,-1.000 / -1.000 /  0,1.467 / 1.800 /  9,-1.000 / -1.000 /  0
8,1-8,1.142 / 1.427 /  9,1.325 / 1.722 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
9,1-9,1.343 / 1.343 /  9,1.487 / 1.510 /  9,-1.000 / -1.000 /  0,1.427 / 1.438 /  9,-1.000 / -1.000 /  0
10,1-10,1.452 / 1.797 /  9,1.687 / 2.171 /  9,-1.000 / -1.000 /  0,1.494 / 1.797 /  9,-1.000 / -1.000 /  0
11,1-11,1.303 / 1.389 /  9,1.110 / 1.993 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
12,1-12,1.316 / 1.316 /  9,1.070 / 1.316 /  9,-1.000 / -1.000 /  0,1.355 / 1.674 /  9,-1.000 / -1.000 /  0
13,2-0,1.278 / 1.546 /  4,1.310 / 1.802 /  6,-1.000 / -1.000 /  0,1.189 / 1.189 /  5,-1.000 / -1.000 /  0
14,2-1,1.289 / 1.289 /  5,1.871 / 1.982 /  5,-1.000 / -1.000 /  0,1.358 / 1.564 /  4,-1.000 / -1.000 /  0
