,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.215 / 1.620 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
1,1-1,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.153 / 2.253 /  9,1.303 / 1.324 /  9,-1.000 / -1.000 /  0
2,1-2,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,2.314 / 2.391 /  9,1.258 / 1.306 /  9,-1.000 / -1.000 /  0
3,1-3,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,2.209 / 2.976 /  9,1.307 / 1.307 /  9,-1.000 / -1.000 /  0
4,1-4,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.625 / 1.761 /  9,1.134 / 1.604 /  9,-1.000 / -1.000 /  0
5,1-5,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,2.921 / 3.044 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
6,1-6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,0.910 / 2.276 /  9,1.187 / 1.456 /  9,-1.000 / -1.000 /  0
7,1-7,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.856 / 2.160 /  9,1.084 / 1.376 /  9,-1.000 / -1.000 /  0
8,1-8,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.864 / 1.984 /  9,1.398 / 1.398 /  9,-1.000 / -1.000 /  0
9,1-9,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.982 / 2.120 /  9,1.915 / 1.915 /  9,-1.000 / -1.000 /  0
10,1-10,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.719 / 2.381 /  9,1.844 / 1.844 /  9,-1.000 / -1.000 /  0
11,1-11,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.449 / 1.620 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
12,1-12,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.137 / 2.021 /  9,1.355 / 1.540 /  9,-1.000 / -1.000 /  0
13,1-13,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.047 / 1.421 /  9,1.320 / 1.320 /  9,-1.000 / -1.000 /  0
14,1-14,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.795 / 1.795 /  9,1.566 / 1.603 /  9,-1.000 / -1.000 /  0
15,1-15,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.482 / 1.834 /  9,1.438 / 1.438 /  9,-1.000 / -1.000 /  0
16,1-16,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,2.343 / 2.574 /  9,1.753 / 1.946 /  9,-1.000 / -1.000 /  0
17,1-17,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,2.115 / 2.387 /  9,1.829 / 1.829 /  9,-1.000 / -1.000 /  0
18,1-18,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.179 / 1.300 /  9,1.197 / 1.675 /  9,-1.000 / -1.000 /  0
19,1-19,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,2.322 / 2.322 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
20,2-0,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,0.952 / 0.952 /  8,1.023 / 1.377 /  6,-1.000 / -1.000 /  0
21,2-1,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,2.326 / 2.482 /  4,1.092 / 1.092 /  5,-1.000 / -1.000 /  0
22,2-2,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.413 / 1.603 /  6,0.937 / 1.068 /  7,-1.000 / -1.000 /  0
23,2-3,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,0.978 / 1.307 /  3,0.812 / 0.891 /  7,-1.000 / -1.000 /  0
24,2-4,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,2.815 / 3.341 /  8,1.363 / 1.363 /  8,-1.000 / -1.000 /  0
25,2-5,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.265 / 1.265 / 10,0.894 / 0.894 /  6,-1.000 / -1.000 /  0
26,2-6,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.013 / 1.509 /  7,0.915 / 1.038 /  6,-1.000 / -1.000 /  0
27,2-7,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.841 / 2.089 /  7,1.266 / 1.565 /  7,-1.000 / -1.000 /  0
28,2-8,-1.000 / -1.000 /  0,-1.000 / -1.000 /  0,1.704 / 2.054 /  7,0.987 / 1.327 /  6,-1.000 / -1.000 /  0
