,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.220 / 1.663 / 99 / 99,1.688 / 2.089 / 99 / 99,1.766 / 2.089 / 99 / 99,1.869 / 2.389 / 99 / 99
1,1-1,1.000 / 1.000 / 99 / 99,1.000 / 1.000 / 99 / 99,1.759 / 1.964 / 99 / 99,1.000 / 1.000 / 99 / 99
2,1-2,1.767 / 2.021 / 99 / 99,17.531 / 521.790 / 99 / 99,7.101 / 521.069 / 99 / 99,1.846 / 2.021 / 99 / 99
3,1-3,1.135 / 1.342 / 99 / 99,1.774 / 1.988 / 99 / 99,1.564 / 2.877 / 99 / 99,1.173 / 1.342 / 99 / 99
4,1-4,1.350 / 1.520 / 99 / 99,1.186 / 1.241 / 99 / 99,1.073 / 1.241 / 99 / 99,1.247 / 1.520 / 99 / 99
5,1-5,3.242 / 3.696 / 99 / 99,2.217 / 2.542 / 99 / 99,2.274 / 2.727 / 99 / 99,1.826 / 2.170 / 99 / 99
6,1-6,1.020 / 1.087 / 99 / 99,1.624 / 1.979 / 99 / 99,1.636 / 1.886 / 99 / 99,1.009 / 1.087 / 99 / 99
7,1-7,1.685 / 1.999 / 99 / 99,1.801 / 2.012 / 99 / 99,1.945 / 2.777 / 99 / 99,1.877 / 2.090 / 99 / 99
8,1-8,1.681 / 1.949 / 99 / 99,1.955 / 2.090 / 99 / 99,2.345 / 2.670 / 99 / 99,1.740 / 1.949 / 99 / 99
9,1-9,1.000 / 1.000 / 99 / 99,2.310 / 2.472 / 99 / 99,1.768 / 2.044 / 99 / 99,1.000 / 1.000 / 99 / 99
10,2-0,1.488 / 1.791 / 56 / 56,1.429 / 2.333 / 55 / 55,0.980 / 0.980 / 19 / 36,1.400 / 1.760 / 59 / 59
11,2-1,1.802 / 1.839 / 48 / 48,1.804 / 1.910 / 46 / 46,1.984 / 2.164 / 31 / 31,1.777 / 1.910 / 48 / 48
12,2-2,0.736 / 0.736 / 66 / 66,0.736 / 0.736 / 58 / 58,1.011 / 3.624 / 50 / 50,0.736 / 0.736 / 38 / 38
13,2-3,1.171 / 1.590 / 49 / 49,1.281 / 1.407 / 69 / 69,1.253 / 1.789 / 66 / 66,1.271 / 1.724 / 56 / 56
14,2-4,1.112 / 1.569 / 46 / 46,1.232 / 1.359 / 47 / 47,1.196 / 1.648 / 65 / 65,1.053 / 1.843 / 63 / 63
15,2-5,1.471 / 1.794 / 74 / 74,1.422 / 1.712 / 39 / 39,1.474 / 1.712 / 43 / 43,1.492 / 1.712 / 38 / 38
16,2-6,0.898 / 0.898 / 61 / 61,0.898 / 0.898 / 35 / 35,0.898 / 0.898 / 53 / 53,0.898 / 0.898 / 36 / 36
17,2-7,2.011 / 2.240 / 55 / 55,2.011 / 2.211 / 35 / 35,2.084 / 2.237 / 53 / 53,2.017 / 2.211 / 34 / 34
18,2-8,3.142 / 3.199 / 49 / 49,3.154 / 3.199 / 63 / 63,3.207 / 3.255 / 49 / 49,3.167 / 3.199 / 61 / 61
19,2-9,0.919 / 0.919 / 44 / 44,1.243 / 1.243 / 52 / 52,1.308 / 1.602 / 66 / 66,1.554 / 1.631 / 52 / 52
20,2-10,2.786 / 3.012 / 51 / 51,2.526 / 2.855 / 50 / 50,2.764 / 2.841 / 44 / 44,2.759 / 2.759 / 65 / 65
21,2-11,0.997 / 1.287 / 69 / 69,1.077 / 1.287 / 52 / 52,1.027 / 2.008 / 71 / 71,1.019 / 2.217 / 55 / 55
22,2-12,1.029 / 4.054 / 24 / 24,1.180 / 2.274 / 43 / 43,1.116 / 1.651 / 50 / 50,1.191 / 1.651 / 17 / 17
23,2-13,0.917 / 1.217 / 36 / 36,0.900 / 1.217 / 32 / 32,0.964 / 1.217 / 44 / 44,0.895 / 1.217 / 64 / 64
24,2-14,1.334 / 2.016 / 50 / 50,1.461 / 2.016 / 65 / 65,1.772 / 2.187 / 71 / 71,1.261 / 1.873 / 54 / 54
25,2-15,2.370 / 2.513 / 60 / 60,2.311 / 2.425 / 43 / 43,1.775 / 1.795 / 66 / 66,2.378 / 2.620 / 21 / 21
26,2-16,1.753 / 2.198 / 38 / 38,1.680 / 2.476 / 58 / 58,1.726 / 1.922 / 15 / 29,1.825 / 2.233 / 55 / 55
27,2-17,1.656 / 1.977 / 39 / 39,1.706 / 1.975 / 39 / 39,1.179 / 1.705 / 44 / 44,1.496 / 1.977 / 74 / 74
28,2-18,2.355 / 2.658 / 52 / 52,1.254 / 1.456 / 31 / 31,1.260 / 1.343 / 37 / 37,2.566 / 2.778 / 54 / 54
29,2-19,1.006 / 1.111 / 39 / 39,1.013 / 1.669 / 50 / 50,1.021 / 1.111 / 36 / 36,1.040 / 1.111 / 50 / 50
