,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,1.288 / 1.431 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99
1,1-1,1.220 / 1.485 / 99 / 99,1.570 / 1.870 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.242 / 1.487 / 99 / 99
2,1-2,1.507 / 2.390 / 99 / 99,1.080 / 2.080 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.416 / 1.780 / 99 / 99
3,1-3,1.229 / 1.578 / 99 / 99,1.093 / 1.185 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.279 / 1.578 / 99 / 99
4,1-4,1.368 / 1.569 / 99 / 99,1.375 / 1.569 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.410 / 1.569 / 99 / 99
5,1-5,1.506 / 1.730 / 99 / 99,1.556 / 1.933 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.487 / 1.639 / 99 / 99
6,1-6,2.131 / 2.824 / 99 / 99,2.277 / 2.824 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.180 / 2.817 / 99 / 99
7,1-7,1.412 / 1.811 / 99 / 99,1.523 / 2.254 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.448 / 1.811 / 99 / 99
8,1-8,1.277 / 1.698 / 99 / 99,2.051 / 2.490 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.264 / 1.755 / 99 / 99
9,1-9,1.380 / 1.914 / 99 / 99,1.803 / 2.020 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.364 / 1.621 / 99 / 99
10,1-10,1.031 / 1.203 / 99 / 99,1.258 / 1.417 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.560 / 1.883 / 99 / 99
11,1-11,1.179 / 1.283 / 99 / 99,1.700 / 2.030 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.230 / 1.283 / 99 / 99
12,1-12,2.026 / 2.390 / 99 / 99,1.886 / 2.466 / 99 / 99,-1.000 / -1.000 / 0 / 99,2.047 / 2.390 / 99 / 99
13,1-13,1.332 / 1.573 / 99 / 99,1.173 / 1.811 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.244 / 1.573 / 99 / 99
14,1-14,1.000 / 1.000 / 99 / 99,1.311 / 1.437 / 99 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99
15,2-0,1.336 / 1.886 / 56 / 56,0.927 / 1.467 / 52 / 52,-1.000 / -1.000 / 0 / 43,1.291 / 1.886 / 53 / 53
16,2-1,1.049 / 1.566 / 54 / 54,1.484 / 2.207 / 38 / 38,-1.000 / -1.000 / 0 / 55,1.039 / 1.039 / 47 / 47
17,2-2,2.041 / 2.474 / 39 / 39,2.374 / 2.841 / 70 / 70,-1.000 / -1.000 / 0 / 43,2.630 / 2.872 / 44 / 44
18,2-3,1.484 / 1.614 / 17 / 17,1.660 / 1.722 / 55 / 55,-1.000 / -1.000 / 0 / 69,1.478 / 1.614 / 34 / 34
19,2-4,0.980 / 1.285 / 35 / 35,1.039 / 1.267 / 56 / 56,-1.000 / -1.000 / 0 / 57,1.041 / 1.285 / 51 / 51
20,2-5,2.198 / 2.504 / 58 / 58,2.184 / 2.653 / 43 / 43,-1.000 / -1.000 / 0 / 70,2.047 / 2.499 / 51 / 51
21,2-6,2.191 / 2.541 / 71 / 71,2.328 / 3.168 / 39 / 39,-1.000 / -1.000 / 0 / 52,2.286 / 2.728 / 55 / 55
22,2-7,1.231 / 2.019 / 42 / 42,1.089 / 1.338 / 48 / 48,-1.000 / -1.000 / 0 / 61,1.388 / 2.019 / 58 / 58
23,2-8,1.263 / 1.936 / 51 / 51,0.968 / 1.290 / 37 / 37,-1.000 / -1.000 / 0 / 23,1.367 / 2.117 / 76 / 76
24,2-9,0.997 / 1.300 / 73 / 73,1.322 / 1.602 / 47 / 47,-1.000 / -1.000 / 0 / 56,1.665 / 2.234 / 42 / 42
25,2-10,1.374 / 1.463 / 77 / 77,1.130 / 1.186 / 55 / 55,-1.000 / -1.000 / 0 / 28,1.572 / 1.681 / 54 / 54
26,2-11,1.233 / 2.061 / 36 / 36,0.993 / 1.643 / 51 / 51,-1.000 / -1.000 / 0 / 79,1.369 / 2.061 / 66 / 66
27,2-12,1.008 / 2.216 / 44 / 44,1.210 / 1.781 / 40 / 40,-1.000 / -1.000 / 0 / 52,1.121 / 2.641 / 47 / 47
28,2-13,1.239 / 1.300 / 54 / 54,0.894 / 0.894 / 36 / 36,-1.000 / -1.000 / 0 / 57,1.238 / 1.238 / 55 / 55
29,2-14,1.073 / 1.375 / 65 / 65,0.842 / 1.183 / 57 / 57,-1.000 / -1.000 / 0 / 32,1.102 / 1.527 / 57 / 57
