,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.745 / 2.070 /  9,1.674 / 1.741 /  9,1.747 / 2.070 /  9,1.697 / 1.856 /  9,1.412 / 1.741 /  9
1,1-1,1.379 / 1.580 /  9,1.420 / 1.420 /  9,1.607 / 1.813 /  9,1.358 / 1.435 /  9,1.427 / 2.161 /  9
2,1-2,1.040 / 1.363 /  9,1.467 / 1.790 /  9,1.427 / 1.427 /  9,1.121 / 1.363 /  9,1.000 / 1.000 /  9
3,2-0,1.127 / 1.127 /  5,0.970 / 0.970 /  7,0.973 / 0.996 / 10,1.127 / 1.127 /  5,1.127 / 1.127 /  8
4,2-1,1.008 / 1.008 /  4,1.008 / 1.008 /  2,1.008 / 1.008 /  2,1.008 / 1.008 /  4,1.042 / 1.352 / 10
5,2-2,1.451 / 1.451 /  7,0.892 / 0.892 /  7,0.999 / 1.749 /  8,0.947 / 1.280 /  7,1.476 / 1.476 /  7
6,2-3,0.909 / 0.909 /  5,0.909 / 0.909 /  5,0.909 / 0.909 /  3,0.909 / 0.909 /  7,1.139 / 1.254 /  6
7,2-4,2.129 / 2.129 /  7,2.278 / 2.503 /  5,2.129 / 2.129 /  8,2.129 / 2.129 /  8,2.129 / 2.129 /  7
8,2-5,0.909 / 0.909 /  7,1.067 / 1.302 /  5,1.170 / 1.418 /  8,0.947 / 1.021 /  5,1.083 / 1.874 /  8
9,2-6,1.237 / 1.237 /  5,1.237 / 1.237 /  8,1.237 / 1.237 / 10,1.237 / 1.237 /  4,1.267 / 1.371 / 10
10,2-7,1.212 / 1.471 /  5,1.173 / 1.331 /  9,1.147 / 1.147 /  7,1.147 / 1.147 /  9,1.147 / 1.147 /  5
11,2-8,0.894 / 0.894 /  7,0.894 / 0.894 /  9,1.286 / 1.484 /  6,1.526 / 1.830 / 10,0.931 / 1.235 /  9
