,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.420 / 1.420 /  9,1.420 / 1.420 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.093 / 1.834 /  9,2.272 / 3.013 /  9,2.285 / 2.652 /  9,1.000 / 1.000 /  9,1.136 / 1.422 /  9
2,1-2,1.358 / 1.358 /  9,1.724 / 1.864 /  9,1.828 / 1.864 /  9,1.358 / 1.358 /  9,1.371 / 1.371 /  9
3,2-0,0.941 / 1.264 /  8,2.046 / 2.516 /  8,1.987 / 2.319 / 10,0.895 / 0.895 /  8,0.895 / 0.895 /  8
4,2-1,1.250 / 1.250 /  6,1.468 / 1.585 /  7,41.829 / 364.752 /  9,1.250 / 1.250 /  6,1.250 / 1.250 /  5
5,2-2,1.279 / 1.279 /  6,1.431 / 1.621 /  8,42.873 / 372.790 /  9,1.350 / 1.635 /  5,1.300 / 1.475 /  9
6,2-3,0.910 / 0.910 /  8,0.910 / 0.910 /  6,0.910 / 0.910 / 10,0.910 / 0.910 / 10,1.067 / 1.067 /  9
7,2-4,1.633 / 1.633 /  8,1.023 / 1.335 /  8,1.067 / 1.335 /  4,1.704 / 1.990 / 10,1.633 / 1.633 /  8
8,2-5,1.120 / 1.320 /  6,1.019 / 1.320 /  4,0.919 / 0.919 /  6,0.919 / 0.919 /  7,0.977 / 1.320 /  7
9,2-6,0.930 / 0.930 /  6,0.930 / 0.930 /  5,0.930 / 0.930 /  5,0.930 / 0.930 /  7,0.930 / 0.930 /  5
10,2-7,1.155 / 1.363 /  6,1.016 / 1.016 /  9,1.016 / 1.016 /  3,1.085 / 1.363 /  5,1.192 / 1.192 /  4
11,2-8,1.762 / 1.945 /  9,1.748 / 2.263 /  8,1.619 / 1.619 /  5,1.665 / 1.945 /  7,1.683 / 1.945 / 10
