,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.131 / 1.382 /  9,1.014 / 1.152 /  9,-1.000 / -1.000 /  0,1.115 / 1.535 /  9,-1.000 / -1.000 /  0
1,1-1,1.000 / 1.000 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
2,1-2,1.100 / 1.299 /  9,1.115 / 1.118 /  9,-1.000 / -1.000 /  0,1.587 / 1.661 /  9,-1.000 / -1.000 /  0
3,1-3,1.490 / 1.787 /  9,1.407 / 1.407 /  9,-1.000 / -1.000 /  0,1.449 / 1.787 /  9,-1.000 / -1.000 /  0
4,1-4,1.200 / 1.268 /  9,1.268 / 1.268 /  9,-1.000 / -1.000 /  0,1.268 / 1.268 /  9,-1.000 / -1.000 /  0
5,1-5,1.617 / 2.185 /  9,1.428 / 1.428 /  9,-1.000 / -1.000 /  0,1.428 / 1.428 /  9,-1.000 / -1.000 /  0
6,1-6,1.029 / 1.261 /  9,1.124 / 1.372 /  9,-1.000 / -1.000 /  0,1.041 / 1.372 /  9,-1.000 / -1.000 /  0
7,1-7,1.000 / 1.000 /  9,1.543 / 1.698 /  9,-1.000 / -1.000 /  0,1.000 / 1.000 /  9,-1.000 / -1.000 /  0
8,1-8,1.417 / 1.685 /  9,1.518 / 1.578 /  9,-1.000 / -1.000 /  0,1.383 / 1.383 /  9,-1.000 / -1.000 /  0
9,1-9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,-1.000 / -1.000 /  0,1.359 / 1.359 /  9,-1.000 / -1.000 /  0
10,2-0,0.705 / 0.705 /  7,0.739 / 1.013 /  9,-1.000 / -1.000 /  0,0.753 / 1.138 /  9,-1.000 / -1.000 /  0
11,2-1,1.586 / 2.286 / 10,1.337 / 1.504 /  8,-1.000 / -1.000 /  0,1.420 / 1.420 /  5,-1.000 / -1.000 /  0
12,2-2,1.044 / 1.254 / 12,1.055 / 1.351 / 11,-1.000 / -1.000 /  0,1.053 / 1.254 /  9,-1.000 / -1.000 /  0
13,2-3,0.952 / 0.952 /  8,0.952 / 0.952 /  9,-1.000 / -1.000 /  0,0.952 / 0.952 /  7,-1.000 / -1.000 /  0
14,2-4,0.930 / 0.930 /  5,0.979 / 1.175 /  5,-1.000 / -1.000 /  0,0.971 / 1.175 /  6,-1.000 / -1.000 /  0
15,2-5,1.477 / 1.477 /  8,1.477 / 1.477 /  7,-1.000 / -1.000 /  0,1.477 / 1.477 /  7,-1.000 / -1.000 /  0
16,2-6,0.928 / 1.123 /  8,0.804 / 0.805 /  8,-1.000 / -1.000 /  0,1.084 / 1.084 /  9,-1.000 / -1.000 /  0
17,2-7,0.959 / 1.150 /  6,0.822 / 0.822 /  2,-1.000 / -1.000 /  0,1.184 / 1.336 /  6,-1.000 / -1.000 /  0
18,2-8,0.989 / 0.989 /  8,1.002 / 1.091 /  8,-1.000 / -1.000 /  0,0.999 / 1.063 /  7,-1.000 / -1.000 /  0
19,2-9,1.285 / 1.450 /  9,0.899 / 0.899 /  9,-1.000 / -1.000 /  0,1.298 / 1.533 /  8,-1.000 / -1.000 /  0
