,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value,ILP
0,1-0,1.000 / 1.000 /  9,1.157 / 1.352 /  9,1.117 / 1.352 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
1,1-1,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9
2,1-2,1.000 / 1.000 /  9,1.220 / 1.220 /  9,1.929 / 1.929 /  9,1.000 / 1.000 /  9,1.687 / 1.687 /  9
3,1-3,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.000 / 1.000 /  9,1.090 / 1.403 /  9,1.045 / 1.403 /  9
4,2-0,0.936 / 1.517 /  8,0.957 / 0.990 /  9,0.951 / 0.951 /  9,1.052 / 1.849 /  9,1.263 / 1.686 /  7
5,2-1,0.894 / 0.894 /  9,0.894 / 0.894 /  9,0.894 / 0.894 /  8,0.935 / 1.218 /  8,1.327 / 1.383 /  6
6,2-2,0.978 / 0.978 /  7,0.978 / 0.978 /  5,0.978 / 0.978 /  5,0.978 / 0.978 / 10,0.978 / 0.978 /  9
7,2-3,1.698 / 1.698 /  6,1.698 / 1.698 /  5,1.698 / 1.698 /  5,1.698 / 1.698 /  7,1.388 / 1.663 /  5
8,2-4,1.141 / 1.401 /  9,1.157 / 1.401 /  6,1.182 / 1.401 /  8,1.108 / 1.108 /  5,1.108 / 1.108 /  6
9,2-5,1.146 / 1.447 /  7,1.135 / 1.135 /  8,1.042 / 1.135 /  8,1.135 / 1.135 /  6,1.570 / 1.647 /  7
10,2-6,1.078 / 1.078 /  9,1.159 / 1.443 /  9,1.078 / 1.078 /  8,1.078 / 1.078 /  8,1.642 / 1.642 / 11
11,2-7,0.936 / 1.299 /  9,1.023 / 1.245 /  8,1.117 / 1.667 /  5,0.981 / 1.258 /  8,1.458 / 1.735 /  7
12,2-8,0.940 / 0.940 /  8,0.940 / 0.940 / 10,0.940 / 0.940 /  6,0.940 / 0.940 /  7,0.833 / 0.993 / 10
13,2-9,0.892 / 0.892 /  5,0.977 / 1.290 /  9,1.431 / 1.558 /  9,0.954 / 1.265 /  6,1.573 / 1.573 /  6
14,2-10,1.251 / 2.251 /  7,1.201 / 1.201 /  8,1.201 / 1.201 /  6,1.201 / 1.201 /  9,1.444 / 1.761 /  6
15,2-11,0.804 / 1.105 /  6,0.744 / 0.744 /  7,0.780 / 1.105 / 10,0.744 / 0.744 /  8,0.861 / 1.443 /  6
