,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.513 / 1.955 / 99 / 99,1.760 / 2.302 / 99 / 99,1.990 / 2.342 / 99 / 99,1.350 / 1.941 / 99 / 99
1,1-1,1.133 / 1.710 / 99 / 99,1.289 / 1.710 / 99 / 99,1.404 / 1.989 / 99 / 99,1.319 / 1.710 / 99 / 99
2,1-2,1.515 / 1.861 / 99 / 99,1.511 / 2.170 / 99 / 99,1.224 / 1.678 / 99 / 99,1.381 / 1.861 / 99 / 99
3,1-3,1.066 / 1.185 / 99 / 99,1.038 / 1.185 / 99 / 99,0.990 / 1.041 / 99 / 99,1.082 / 1.205 / 99 / 99
4,2-0,1.073 / 1.225 / 59 / 59,1.301 / 1.600 / 43 / 43,1.638 / 1.937 / 41 / 41,1.018 / 1.458 / 33 / 33
5,2-1,0.966 / 1.222 / 51 / 51,0.992 / 1.182 / 49 / 49,0.951 / 1.417 / 62 / 62,0.910 / 1.182 / 46 / 46
6,2-2,1.836 / 1.862 / 57 / 57,1.576 / 1.689 / 37 / 37,1.800 / 2.071 / 34 / 34,1.754 / 1.900 / 49 / 49
7,2-3,1.366 / 1.820 / 23 / 23,1.708 / 1.874 / 38 / 38,1.378 / 2.175 / 65 / 65,2.591 / 3.006 / 55 / 55
8,2-4,1.032 / 1.424 / 24 / 24,1.052 / 1.424 / 32 / 32,1.130 / 1.431 / 53 / 53,1.234 / 1.710 / 45 / 45
9,2-5,1.326 / 1.619 / 56 / 56,1.101 / 1.511 / 55 / 55,1.891 / 2.461 / 55 / 55,1.452 / 2.345 / 74 / 74
10,2-6,1.267 / 1.613 / 54 / 54,1.204 / 1.524 / 59 / 59,1.215 / 1.524 / 66 / 66,1.365 / 1.725 / 51 / 51
11,2-7,1.529 / 1.831 / 66 / 66,1.586 / 2.016 / 75 / 75,1.476 / 1.866 / 30 / 30,1.518 / 1.944 / 63 / 63
12,2-8,1.448 / 1.682 / 54 / 54,1.331 / 1.682 / 47 / 47,1.024 / 1.293 / 52 / 52,1.406 / 1.682 / 58 / 58
13,2-9,1.047 / 1.633 / 12 / 12,1.278 / 1.524 / 46 / 46,1.514 / 2.090 / 56 / 56,0.990 / 1.353 / 42 / 42
14,2-10,2.298 / 2.626 / 32 / 32,2.096 / 2.626 / 69 / 69,2.166 / 2.727 / 31 / 31,1.855 / 2.436 / 33 / 33
15,2-11,1.129 / 1.195 / 62 / 62,1.114 / 1.382 / 53 / 53,1.022 / 1.092 / 51 / 51,2.175 / 2.411 / 66 / 66
16,2-12,0.862 / 2.310 / 48 / 48,0.977 / 1.229 / 22 / 22,1.197 / 1.520 / 65 / 65,0.744 / 1.010 / 24 / 24
17,2-13,1.193 / 1.793 / 54 / 54,1.240 / 1.793 / 39 / 39,2.755 / 3.264 / 53 / 53,1.132 / 1.957 / 62 / 62
18,2-14,1.359 / 2.068 / 65 / 65,1.369 / 1.684 / 53 / 53,1.032 / 1.486 / 39 / 39,1.440 / 1.684 / 54 / 54
19,2-15,1.876 / 2.264 / 68 / 68,1.763 / 2.134 / 76 / 76,1.435 / 2.107 / 58 / 58,1.405 / 1.778 / 44 / 44
