,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.000 / 1.000 / 99 / 99,1.190 / 1.249 / 99 / 99,1.167 / 1.249 / 99 / 99,1.000 / 1.000 / 99 / 99
1,1-1,2.509 / 2.705 / 99 / 99,1.336 / 1.765 / 99 / 99,1.514 / 4.020 / 98 / 99,1.561 / 2.797 / 99 / 99
2,1-2,1.445 / 1.756 / 99 / 99,2.185 / 2.653 / 99 / 99,2.360 / 3.839 / 99 / 99,1.405 / 1.991 / 99 / 99
3,1-3,1.891 / 2.726 / 99 / 99,2.896 / 3.460 / 99 / 99,3.440 / 4.243 / 99 / 99,2.194 / 2.987 / 99 / 99
4,1-4,1.624 / 1.852 / 99 / 99,2.027 / 2.618 / 99 / 99,1.907 / 2.618 / 99 / 99,1.408 / 1.852 / 99 / 99
5,1-5,1.538 / 2.449 / 99 / 99,1.632 / 2.426 / 99 / 99,1.637 / 2.426 / 99 / 99,1.373 / 1.729 / 99 / 99
6,1-6,1.000 / 1.000 / 99 / 99,1.505 / 1.634 / 99 / 99,1.516 / 1.737 / 99 / 99,1.000 / 1.000 / 99 / 99
7,2-0,1.145 / 1.689 / 47 / 47,1.127 / 1.945 / 54 / 54,1.137 / 1.760 / 72 / 72,1.174 / 1.689 / 26 / 26
8,2-1,1.572 / 2.124 / 52 / 52,1.915 / 2.472 / 54 / 54,1.946 / 2.571 / 56 / 56,1.445 / 1.914 / 43 / 43
9,2-2,2.383 / 3.172 / 32 / 32,2.857 / 3.466 / 57 / 57,2.715 / 3.221 / 29 / 29,2.234 / 2.663 / 59 / 59
10,2-3,1.181 / 1.440 / 30 / 30,1.079 / 1.440 / 40 / 40,1.139 / 1.440 / 48 / 48,1.087 / 1.440 / 22 / 22
11,2-4,1.779 / 3.185 / 36 / 36,1.213 / 1.558 / 41 / 41,1.504 / 2.369 / 54 / 54,1.619 / 2.369 / 32 / 32
12,2-5,2.864 / 3.598 / 48 / 48,1.717 / 2.385 / 31 / 33,1.891 / 2.926 / 37 / 49,1.966 / 3.259 / 55 / 55
13,2-6,1.342 / 1.342 / 45 / 45,1.251 / 1.342 / 67 / 67,1.251 / 1.342 / 34 / 34,1.342 / 1.342 / 29 / 29
14,2-7,1.249 / 1.999 / 50 / 50,1.297 / 1.569 / 38 / 38,1.011 / 1.736 / 43 / 43,1.254 / 2.057 / 32 / 32
15,2-8,2.423 / 2.638 / 64 / 64,2.096 / 2.501 / 54 / 54,2.202 / 2.794 / 41 / 41,2.758 / 3.362 / 64 / 64
16,2-9,0.924 / 1.309 / 69 / 69,1.521 / 1.831 / 24 / 24,1.656 / 2.028 / 34 / 34,1.007 / 1.309 / 59 / 59
17,2-10,1.298 / 2.102 / 30 / 30,1.558 / 2.355 / 71 / 71,1.647 / 2.453 / 61 / 61,1.418 / 2.026 / 49 / 49
18,2-11,2.052 / 2.641 / 53 / 53,2.017 / 2.594 / 25 / 25,2.015 / 2.559 / 52 / 52,2.073 / 2.615 / 65 / 65
19,2-12,1.276 / 2.471 / 52 / 52,2.073 / 2.342 / 24 / 24,3.035 / 4.116 / 40 / 40,1.534 / 2.337 / 44 / 44
20,2-13,2.450 / 3.009 / 55 / 55,1.701 / 2.183 / 44 / 44,1.847 / 2.869 / 44 / 44,2.653 / 3.423 / 81 / 81
21,2-14,1.427 / 1.865 / 52 / 52,1.724 / 2.060 / 54 / 54,1.196 / 1.754 / 60 / 60,1.445 / 1.762 / 40 / 40
22,2-15,1.992 / 2.197 / 57 / 57,0.915 / 1.123 / 67 / 67,0.873 / 1.123 / 57 / 57,1.859 / 2.480 / 58 / 58
23,2-16,1.238 / 1.418 / 71 / 71,1.174 / 1.244 / 48 / 48,1.167 / 1.213 / 54 / 54,1.230 / 1.244 / 76 / 76
24,2-17,1.272 / 1.403 / 31 / 31,2.016 / 2.076 / 53 / 53,1.981 / 2.076 / 45 / 45,1.295 / 1.403 / 85 / 85
25,2-18,1.513 / 1.768 / 88 / 88,1.983 / 2.319 / 53 / 53,1.993 / 2.319 / 30 / 30,1.696 / 2.002 / 35 / 35
26,2-19,2.566 / 3.296 / 60 / 60,3.130 / 3.692 / 54 / 54,3.135 / 3.908 / 62 / 62,2.347 / 2.729 / 15 / 15
27,2-20,1.331 / 1.450 / 67 / 67,0.904 / 1.378 / 57 / 57,1.013 / 1.378 / 60 / 60,1.361 / 1.450 / 54 / 54
