,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.364 / 1.566 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.324 / 1.566 / 99 / 99
1,1-1,1.003 / 1.007 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.004 / 1.007 / 99 / 99
2,1-2,0.757 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,0.757 / 1.000 / 99 / 99
3,1-3,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99
4,1-4,1.000 / 1.000 / 99 / 99,-1.000 / -1.000 / 0 / 99,-1.000 / -1.000 / 0 / 99,1.000 / 1.000 / 99 / 99
5,2-0,1.290 / 1.723 / 55 / 55,-1.000 / -1.000 / 0 / 35,-1.000 / -1.000 / 0 / 58,1.231 / 1.490 / 74 / 74
6,2-1,0.958 / 1.140 / 49 / 49,-1.000 / -1.000 / 0 / 66,-1.000 / -1.000 / 0 / 57,0.966 / 1.140 / 45 / 45
7,2-2,1.435 / 1.603 / 35 / 35,-1.000 / -1.000 / 0 / 45,-1.000 / -1.000 / 0 / 58,1.384 / 1.603 / 57 / 57
8,2-3,1.633 / 2.101 / 63 / 63,-1.000 / -1.000 / 0 / 68,-1.000 / -1.000 / 0 / 45,1.510 / 2.101 / 58 / 58
9,2-4,1.199 / 1.504 / 29 / 29,-1.000 / -1.000 / 0 / 61,-1.000 / -1.000 / 0 / 34,1.318 / 1.822 / 48 / 48
10,2-5,1.434 / 1.753 / 60 / 60,-1.000 / -1.000 / 0 / 75,-1.000 / -1.000 / 0 / 56,1.431 / 2.155 / 39 / 39
11,2-6,1.373 / 1.768 / 61 / 61,-1.000 / -1.000 / 0 / 59,-1.000 / -1.000 / 0 / 48,1.083 / 1.768 / 22 / 22
12,2-7,0.892 / 0.892 / 41 / 41,-1.000 / -1.000 / 0 / 43,-1.000 / -1.000 / 0 / 34,0.892 / 0.892 / 35 / 35
13,2-8,1.107 / 1.316 / 65 / 65,-1.000 / -1.000 / 0 / 65,-1.000 / -1.000 / 0 / 83,1.096 / 1.316 / 52 / 52
14,2-9,1.127 / 1.992 / 50 / 50,-1.000 / -1.000 / 0 / 49,-1.000 / -1.000 / 0 / 37,1.245 / 1.992 / 49 / 49
