,stream,shortest_path,min_max_percentage,least_used_capacity_percentage,least_conflict_value
0,1-0,1.342 / 1.452 / 99 / 99,1.311 / 1.479 / 99 / 99,1.359 / 1.452 / 99 / 99,1.263 / 1.452 / 99 / 99
1,1-1,1.190 / 1.384 / 99 / 99,1.186 / 1.384 / 99 / 99,1.167 / 1.384 / 99 / 99,1.128 / 1.384 / 99 / 99
2,1-2,1.317 / 1.780 / 99 / 99,1.381 / 1.780 / 99 / 99,1.356 / 1.771 / 99 / 99,1.480 / 1.780 / 99 / 99
3,2-0,1.374 / 1.750 / 51 / 61,1.264 / 1.486 / 32 / 43,1.480 / 1.750 / 78 / 79,1.173 / 1.324 / 27 / 30
4,2-1,1.535 / 1.771 / 64 / 64,1.560 / 1.597 / 42 / 42,1.562 / 1.597 / 68 / 68,1.551 / 1.597 / 37 / 37
5,2-2,2.106 / 2.425 / 47 / 47,2.111 / 2.378 / 55 / 55,2.027 / 2.378 / 33 / 33,2.035 / 2.378 / 50 / 50
6,2-3,1.267 / 2.068 / 32 / 32,1.661 / 2.093 / 64 / 64,1.255 / 1.793 / 38 / 38,1.338 / 1.793 / 42 / 42
7,2-4,1.006 / 1.696 / 48 / 48,1.027 / 1.717 / 37 / 37,1.101 / 1.696 / 61 / 61,1.144 / 2.085 / 53 / 53
8,2-5,1.245 / 1.246 / 49 / 49,1.245 / 1.246 / 48 / 48,1.245 / 1.245 / 42 / 42,1.245 / 1.245 / 32 / 32
9,2-6,1.201 / 1.652 / 50 / 50,1.028 / 1.802 / 45 / 45,1.038 / 1.652 / 41 / 41,1.140 / 2.032 / 65 / 65
10,2-7,1.670 / 2.256 / 51 / 51,1.659 / 1.981 / 51 / 51,1.626 / 1.996 / 56 / 56,1.768 / 2.301 / 43 / 43
11,2-8,1.342 / 1.721 / 32 / 32,1.596 / 2.179 / 35 / 35,1.273 / 1.879 / 36 / 36,1.557 / 1.968 / 51 / 51
12,2-9,1.505 / 1.731 / 60 / 60,1.527 / 1.754 / 37 / 37,1.470 / 1.739 / 62 / 62,1.562 / 1.782 / 45 / 45
13,2-10,0.868 / 0.868 / 27 / 27,0.868 / 0.868 / 45 / 45,0.868 / 0.868 / 35 / 35,0.868 / 0.868 / 67 / 67
14,2-11,1.453 / 2.209 / 47 / 47,1.461 / 1.802 / 57 / 57,1.235 / 1.751 / 61 / 61,1.598 / 2.049 / 54 / 54
